session_id,user_id,pricing_model,energy_kwh,import_kwh,export_kwh,net_kwh,schema_version,start_ts,end_ts,batch_day,receipt_hash,merkle_root,batch_root
db_only_smoke_20260605-0001,user-006,TOU,4.33,13.385,9.055,4.33,v2g-v1,2026-06-05T01:14:04.432843+00:00,2026-06-05T02:14:04.432843+00:00,2026-06-05,0x80cf9e7f898bb18b62187c5343e86a8c62420b89b384102e9d6e1cb1db3ebe88,0xbc028ebd248aceb7dc8cebd2196682c21b22c68d8a684a9ebd867edcdb8d01da,0x5345f9371fefcb5b4f59209b65b5365088307a4aa35d0b256be29129155b09f2
db_report_20260605_v2-0001,user-002,TOU,3.404,4.028,0.624,3.404,v2g-v1,2026-06-05T23:22:59.070749+00:00,2026-06-06T00:02:59.070749+00:00,2026-06-05,0x4b98113e6d90fbb5177244381ac6920949fd5a7cd09e82bc4b6eb8a98457a80c,0x485813342a1320785e68a06db3f339c39e8e195b0f7e0f8fbc3b71f528c51ae9,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0002,user-004,TOU,4.893,4.893,0.0,4.893,v2g-v1,2026-06-05T13:12:08.338401+00:00,2026-06-05T13:52:08.338401+00:00,2026-06-05,0x702f412b10a9f6f7ab08b3c3b5c75d1a0e6b6f726621eee8afe6278c5d2e2965,0x8454a0b97e887c08d76a6146a09c75ac7fe097d776ccb60d5654f00b4dfde486,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0003,user-008,TOU,7.318,7.318,0.0,7.318,v2g-v1,2026-06-05T11:06:49.892898+00:00,2026-06-05T12:06:49.892898+00:00,2026-06-05,0x8c723e4d1e03c27fac49fde546933dab051c87179c892e79c90fa2cf11aae942,0x7ba8cde707913f7abb2c850598ac365c013c4015f952cfce8a7ba40d268d25f4,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0004,user-006,TOU,15.207,15.207,0.0,15.207,v2g-v1,2026-06-05T18:57:18.592541+00:00,2026-06-05T19:37:18.592541+00:00,2026-06-05,0x814f8ac51fc52ab707079b19b09f4b237509c2058e4c5232aa7ca97593486f4c,0xad0e85be4f2800e91bee60210829d742b38ea6b8d5699534c1e7a5f9fd7cbc34,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0005,user-001,TOU,-3.741,0.0,3.741,-3.741,v2g-v1,2026-06-05T18:29:10.246582+00:00,2026-06-05T18:49:10.246582+00:00,2026-06-05,0x749e9a0eacc17bb03c35649acfb9b965375f7cd16a9a441f27a1b87f070115b4,0x17fe602d5e933a8363d4cf7b77a560de895dca5fd093958fca6bb4af31271be1,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0006,user-008,TOU,3.466,3.466,0.0,3.466,v2g-v1,2026-06-05T20:33:15.894586+00:00,2026-06-05T21:03:15.894586+00:00,2026-06-05,0x7f9dc926982b320088a89b7184decd4d4fae6ae76078083f53b1da9aa94d82c3,0xebe498a74693cef5e92cbc24c7e7bf042a38d7a6fa71946d65bfc03b3527e0f1,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0007,user-001,TOU,0.471,5.582,5.111,0.471,v2g-v1,2026-06-05T03:19:00.708605+00:00,2026-06-05T03:49:00.708605+00:00,2026-06-05,0x8048da609a1725885fa0f8fc68c0ee9c3b1d3d5026f308c51f7fa4a89a6cc69f,0x211a2ba46b391bdd8d5e0453cbbc74d673bebedc5b27527cfd5fb2982e267149,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0008,user-009,TOU,2.666,3.714,1.048,2.666,v2g-v1,2026-06-05T05:57:44.158115+00:00,2026-06-05T06:37:44.158115+00:00,2026-06-05,0xf44c884ed8cc81ca4a5db03e5c7896d15810f46d335454e232579910c9aad813,0xfc76bab753b249284f8134091fda562acfd3a8a0866d0a65749e71e5d81ed510,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0009,user-006,TOU,27.805,27.805,0.0,27.805,v2g-v1,2026-06-05T05:40:59.066874+00:00,2026-06-05T06:55:59.066874+00:00,2026-06-05,0xf8f70634f3c2518edcb1b3f341ea9334069b1a324790df98af797711c54d0985,0xa391a3aa43cd961f00c954406d2cdeeb3c4c28b32a62839edbe4ed836a66baff,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
