session_id,user_id,evse_id,start_ts,end_ts,session_type,energy_kwh,import_kwh,export_kwh,net_kwh,tariff_model
csv_order_demo-0001,user-001,EVSE-040,2026-05-22T17:07:02.326822Z,2026-05-22T17:37:02.326822Z,discharge_only,-5.142,0.0,5.142,-5.142,TOU
demo_10-0001,user-002,EVSE-046,2026-03-07T23:22:59.070749Z,2026-03-08T00:02:59.070749Z,bidirectional,3.404,4.028,0.624,3.404,TOU
demo_10-0002,user-004,EVSE-023,2026-03-07T13:12:08.338401Z,2026-03-07T13:52:08.338401Z,charge_only,4.893,4.893,0.0,4.893,TOU
demo_10-0003,user-008,EVSE-041,2026-03-07T11:06:49.892898Z,2026-03-07T12:06:49.892898Z,charge_only,7.318,7.318,0.0,7.318,TOU
demo_10-0004,user-006,EVSE-036,2026-03-07T18:57:18.592541Z,2026-03-07T19:37:18.592541Z,charge_only,15.207,15.207,0.0,15.207,TOU
demo_10-0005,user-001,EVSE-014,2026-03-07T18:29:10.246582Z,2026-03-07T18:49:10.246582Z,discharge_only,-3.741,0.0,3.741,-3.741,TOU
demo_10-0006,user-008,EVSE-009,2026-03-07T20:33:15.894586Z,2026-03-07T21:03:15.894586Z,charge_only,3.466,3.466,0.0,3.466,TOU
demo_10-0007,user-001,EVSE-001,2026-03-07T03:19:00.708605Z,2026-03-07T03:49:00.708605Z,bidirectional,0.471,5.582,5.111,0.471,TOU
demo_10-0008,user-009,EVSE-041,2026-03-07T05:57:44.158115Z,2026-03-07T06:37:44.158115Z,bidirectional,2.666,3.714,1.048,2.666,TOU
demo_10-0009,user-006,EVSE-036,2026-03-07T05:40:59.066874Z,2026-03-07T06:55:59.066874Z,charge_only,27.805,27.805,0.0,27.805,TOU
demo_10-0010,user-010,EVSE-029,2026-03-07T13:49:40.881967Z,2026-03-07T14:19:40.881967Z,charge_only,10.482,10.482,0.0,10.482,TOU
research_20260521_100-0001,user-002,EVSE-046,2026-05-21T23:22:59.070749Z,2026-05-22T00:02:59.070749Z,bidirectional,3.404,4.028,0.624,3.404,TOU
research_20260521_100-0002,user-004,EVSE-023,2026-05-21T13:12:08.338401Z,2026-05-21T13:52:08.338401Z,charge_only,4.893,4.893,0.0,4.893,TOU
research_20260521_100-0003,user-008,EVSE-041,2026-05-21T11:06:49.892898Z,2026-05-21T12:06:49.892898Z,charge_only,7.318,7.318,0.0,7.318,TOU
research_20260521_100-0004,user-006,EVSE-036,2026-05-21T18:57:18.592541Z,2026-05-21T19:37:18.592541Z,charge_only,15.207,15.207,0.0,15.207,TOU
research_20260521_100-0005,user-001,EVSE-014,2026-05-21T18:29:10.246582Z,2026-05-21T18:49:10.246582Z,discharge_only,-3.741,0.0,3.741,-3.741,TOU
research_20260521_100-0006,user-008,EVSE-009,2026-05-21T20:33:15.894586Z,2026-05-21T21:03:15.894586Z,charge_only,3.466,3.466,0.0,3.466,TOU
research_20260521_100-0007,user-001,EVSE-001,2026-05-21T03:19:00.708605Z,2026-05-21T03:49:00.708605Z,bidirectional,0.471,5.582,5.111,0.471,TOU
research_20260521_100-0008,user-009,EVSE-041,2026-05-21T05:57:44.158115Z,2026-05-21T06:37:44.158115Z,bidirectional,2.666,3.714,1.048,2.666,TOU
research_20260521_100-0009,user-006,EVSE-036,2026-05-21T05:40:59.066874Z,2026-05-21T06:55:59.066874Z,charge_only,27.805,27.805,0.0,27.805,TOU
research_20260521_100-0010,user-010,EVSE-029,2026-05-21T13:49:40.881967Z,2026-05-21T14:19:40.881967Z,charge_only,10.482,10.482,0.0,10.482,TOU
