session_id,user_id,receipt_hash,merkle_root,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,batch_root
demo_10-0001,user-002,0xde3d1174fe58ac501aeecddf56b5ccad804589333d7565d2b8c5627da5c452db,0x90587d91fd0392162c135df262ed36bf5dd5d8a4c05071ce707c4cb461773ea6,3.404,4.028,0.624,3.404,2026-03-07T23:22:59.070749Z,2026-03-08T00:02:59.070749Z,,
demo_10-0002,user-004,0x34ad0e2543436aab97ee614e5080f33925d1844b9878083ea4d14a8858a1e899,0x01f15afc0c884bad3eb7bc341e6e1b004377adba3f9ab652a66a845e9f885999,4.893,4.893,0.0,4.893,2026-03-07T13:12:08.338401Z,2026-03-07T13:52:08.338401Z,,
demo_10-0003,user-008,0x32fcbd9d6bcb599e91a86618462d5e7437f3c2b5631b61b04e81ecd1759b3577,0x334d0a5bc846e076a123c2ae7726054d8fd65f0102fa10e4d884e2662cbe233d,7.318,7.318,0.0,7.318,2026-03-07T11:06:49.892898Z,2026-03-07T12:06:49.892898Z,,
demo_10-0004,user-006,0x207564fd02a0612f7ec628f69e6afa4d583200115060ba75a7724fb3b8abb507,0x512999c1a1c11916cd290664aeb081d7effdafda98c33951e95842cc1d1e283a,15.207,15.207,0.0,15.207,2026-03-07T18:57:18.592541Z,2026-03-07T19:37:18.592541Z,,
demo_10-0005,user-001,0x68ab1a1196119356f51085b6cf22aa0d1bb229c3a9c274291b527e47e77db920,0xce96bf2d57a10e3fd8cfc7717dc49cfdda89f8d20dd38997ed3137030f595bf1,-3.741,0.0,3.741,-3.741,2026-03-07T18:29:10.246582Z,2026-03-07T18:49:10.246582Z,,
demo_10-0006,user-008,0x85d68de0fc2cae66dc2f7fe96d0606b898286194bf6e233146a02dc340adcc13,0xc3a238562e71c1f4184424ec2411e5865e1429ca81f496ae2cbc4ac4a674c55a,3.466,3.466,0.0,3.466,2026-03-07T20:33:15.894586Z,2026-03-07T21:03:15.894586Z,,
demo_10-0007,user-001,0x95f8e7cebb932e596a2c018a5d90b69366ecf35e60f49ea618e1891a37f880e3,0x6e32328eee277f7381a70f85909f58ff938cb1c481e0a59dfd1198020918ec7a,0.471,5.582,5.111,0.471,2026-03-07T03:19:00.708605Z,2026-03-07T03:49:00.708605Z,,
demo_10-0008,user-009,0x2265c5f17da58fb9e16c3806e125e62957a471fcb176035f86b39dfa01d28734,0x6f28bd86d980960dee20ba36911a1e68ba5bb1ac326cd0215c8fe209c0d456a2,2.666,3.714,1.048,2.666,2026-03-07T05:57:44.158115Z,2026-03-07T06:37:44.158115Z,,
demo_10-0009,user-006,0xd7ac8773e1da8cc18dace29c7f7f57e431c6bcb79f87ba84b2e4e37cda577496,0x238097bb3d2ae3f43e03c7a05717c262c9f1295ede82ea697437a289fd6527e4,27.805,27.805,0.0,27.805,2026-03-07T05:40:59.066874Z,2026-03-07T06:55:59.066874Z,,
demo_10-0010,user-010,0x8fa3317944ed6469de283a6264a580ea6072179d0d6c145d7dd885b503826213,0xb86e8fff49b2ffb9d9c0d5dfb00b615a6ce441cb43b8829d1c7edc210bbc24d2,10.482,10.482,0.0,10.482,2026-03-07T13:49:40.881967Z,2026-03-07T14:19:40.881967Z,,
