session_id,user_id,evse_id,start_ts,end_ts,session_type,tariff_model
demo_10-0001,user-002,EVSE-046,2026-03-07T23:22:59.070749Z,2026-03-08T00:02:59.070749Z,bidirectional,TOU
demo_10-0002,user-004,EVSE-023,2026-03-07T13:12:08.338401Z,2026-03-07T13:52:08.338401Z,charge_only,TOU
demo_10-0003,user-008,EVSE-041,2026-03-07T11:06:49.892898Z,2026-03-07T12:06:49.892898Z,charge_only,TOU
demo_10-0004,user-006,EVSE-036,2026-03-07T18:57:18.592541Z,2026-03-07T19:37:18.592541Z,charge_only,TOU
demo_10-0005,user-001,EVSE-014,2026-03-07T18:29:10.246582Z,2026-03-07T18:49:10.246582Z,discharge_only,TOU
demo_10-0006,user-008,EVSE-009,2026-03-07T20:33:15.894586Z,2026-03-07T21:03:15.894586Z,charge_only,TOU
demo_10-0007,user-001,EVSE-001,2026-03-07T03:19:00.708605Z,2026-03-07T03:49:00.708605Z,bidirectional,TOU
demo_10-0008,user-009,EVSE-041,2026-03-07T05:57:44.158115Z,2026-03-07T06:37:44.158115Z,bidirectional,TOU
demo_10-0009,user-006,EVSE-036,2026-03-07T05:40:59.066874Z,2026-03-07T06:55:59.066874Z,charge_only,TOU
demo_10-0010,user-010,EVSE-029,2026-03-07T13:49:40.881967Z,2026-03-07T14:19:40.881967Z,charge_only,TOU
