session_id,expected_hash,computed_hash,match,import_consistent,export_consistent,net_consistent,settlement_consistent,audit_ok,audit_reason,batch_day,batch_root
demo_10-0001,0xde3d1174fe58ac501aeecddf56b5ccad804589333d7565d2b8c5627da5c452db,0xde3d1174fe58ac501aeecddf56b5ccad804589333d7565d2b8c5627da5c452db,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0002,0x34ad0e2543436aab97ee614e5080f33925d1844b9878083ea4d14a8858a1e899,0x34ad0e2543436aab97ee614e5080f33925d1844b9878083ea4d14a8858a1e899,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0003,0x32fcbd9d6bcb599e91a86618462d5e7437f3c2b5631b61b04e81ecd1759b3577,0x32fcbd9d6bcb599e91a86618462d5e7437f3c2b5631b61b04e81ecd1759b3577,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0004,0x207564fd02a0612f7ec628f69e6afa4d583200115060ba75a7724fb3b8abb507,0x207564fd02a0612f7ec628f69e6afa4d583200115060ba75a7724fb3b8abb507,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0005,0x68ab1a1196119356f51085b6cf22aa0d1bb229c3a9c274291b527e47e77db920,0x68ab1a1196119356f51085b6cf22aa0d1bb229c3a9c274291b527e47e77db920,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0006,0x85d68de0fc2cae66dc2f7fe96d0606b898286194bf6e233146a02dc340adcc13,0x85d68de0fc2cae66dc2f7fe96d0606b898286194bf6e233146a02dc340adcc13,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0007,0x95f8e7cebb932e596a2c018a5d90b69366ecf35e60f49ea618e1891a37f880e3,0x95f8e7cebb932e596a2c018a5d90b69366ecf35e60f49ea618e1891a37f880e3,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0008,0x2265c5f17da58fb9e16c3806e125e62957a471fcb176035f86b39dfa01d28734,0x2265c5f17da58fb9e16c3806e125e62957a471fcb176035f86b39dfa01d28734,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0009,0xd7ac8773e1da8cc18dace29c7f7f57e431c6bcb79f87ba84b2e4e37cda577496,0xd7ac8773e1da8cc18dace29c7f7f57e431c6bcb79f87ba84b2e4e37cda577496,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
demo_10-0010,0x8fa3317944ed6469de283a6264a580ea6072179d0d6c145d7dd885b503826213,0x8fa3317944ed6469de283a6264a580ea6072179d0d6c145d7dd885b503826213,True,True,True,True,True,True,,2026-03-07,0x3dce08483b5d3113a1014d9b5d0edf26914610f31b4c682c13cb93009af180a9
