session_id,expected_hash,computed_hash,match,import_consistent,export_consistent,net_consistent,settlement_consistent,audit_ok,audit_reason,batch_day,batch_root
research_20260521_1000-0001,0x560e11b3a43121085ff7085f07432560da6b2ac4f15ff351a8113097c945d281,0x560e11b3a43121085ff7085f07432560da6b2ac4f15ff351a8113097c945d281,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0002,0x477ea2d9856b821f0a193e95efc8cdb41bfb5e420115a205bbb9348f7816ae47,0x477ea2d9856b821f0a193e95efc8cdb41bfb5e420115a205bbb9348f7816ae47,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0003,0x1ea9441573be9488b00b92bcf7e77f1d296c24d7f47f6cbd8c6c7bb388ae2038,0x1ea9441573be9488b00b92bcf7e77f1d296c24d7f47f6cbd8c6c7bb388ae2038,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0004,0x78aad0c01acc70300081573179b89de0dc905815c2c13a09382ee3957ae7d97f,0x78aad0c01acc70300081573179b89de0dc905815c2c13a09382ee3957ae7d97f,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0005,0xe4fda9dc14935ead98d2a3bed252ddb90ed0787187c1e9c8df2c00d34873e86c,0xe4fda9dc14935ead98d2a3bed252ddb90ed0787187c1e9c8df2c00d34873e86c,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0006,0x4d32fb25882a397fc060796283fd210a9f8a55ff11404f282e5753707815718b,0x4d32fb25882a397fc060796283fd210a9f8a55ff11404f282e5753707815718b,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0007,0xfea7952d21fee8883dd06d348e29af3fe3497f7933d0163195a9731ff4f53ae1,0xfea7952d21fee8883dd06d348e29af3fe3497f7933d0163195a9731ff4f53ae1,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0008,0xf50e0fa695e1cf2b679ec5d02ceff1abe0f99a118a5567b907a9a83426a83712,0xf50e0fa695e1cf2b679ec5d02ceff1abe0f99a118a5567b907a9a83426a83712,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0009,0x35dab6de5405abaad88eae44a3679d50f66d200ac21c817d293382e68c2c0936,0x35dab6de5405abaad88eae44a3679d50f66d200ac21c817d293382e68c2c0936,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0010,0xde74464baacff8269a616ac235d6bd320124331f8727e9ca67d47f718fde6dce,0xde74464baacff8269a616ac235d6bd320124331f8727e9ca67d47f718fde6dce,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0011,0x85117b9c3cc9e28d601ff7b66fb4984c4a58f8b9f504f2469c5bd8b0647ba5cf,0x85117b9c3cc9e28d601ff7b66fb4984c4a58f8b9f504f2469c5bd8b0647ba5cf,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0012,0x0ba3131b66adfbabd0e52598bcc19a395ebb791c2633b54738ff9c2d6815bc71,0x0ba3131b66adfbabd0e52598bcc19a395ebb791c2633b54738ff9c2d6815bc71,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0013,0x8723c6d8d6f05a5b0a905b23a3653e90cda76297291a5e8fea2a62330367cd0f,0x8723c6d8d6f05a5b0a905b23a3653e90cda76297291a5e8fea2a62330367cd0f,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0014,0xf80a1200d4ed000aae2620bb0460ea0b9c72fbb2208fc58e4d339179b4e2f866,0xf80a1200d4ed000aae2620bb0460ea0b9c72fbb2208fc58e4d339179b4e2f866,True,True,True,True,True,True,,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
