session_id,user_id,receipt_hash,merkle_root,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,batch_root
research_20260521_100_v3-0001,user-002,0x1bbcd24cf5de1e870fa1847dcc1f7ddb3a4fffba78b5bff3e35c8dc0686dde10,0x9a11397e0bc4c66c85ec51bac339fead65a34d0b9270688a166bff7a9a462e50,3.404,4.028,0.624,3.404,2026-05-21T23:22:59.070749Z,2026-05-22T00:02:59.070749Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0002,user-004,0x111c955d7816f1016b292e5a8a45bb0c128478332aa5f26c82946284a39538c0,0x3aa1c593a6ec26aba4e4c66ace0ebfc4a084cab241b68f307a6da1e1aae7fc06,4.893,4.893,0.0,4.893,2026-05-21T13:12:08.338401Z,2026-05-21T13:52:08.338401Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0003,user-008,0x8a09d981d78bb00283b49acec477a8f38d5c2bbdda2899e7c1eaea96ba856f1d,0xac17f828a4db5214aff1b6246c6663bc7bd40840d518976c53dcf1edcdcf1a06,7.318,7.318,0.0,7.318,2026-05-21T11:06:49.892898Z,2026-05-21T12:06:49.892898Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0004,user-006,0x8d253912d0f61890696c75f0c2aa6d5c11c24d85c94250d93049353dec3ba8bf,0x06ab5ed4f3f811744c6fda00d5da36f112453f1cf5cf7e6e6e97247024a3ce79,15.207,15.207,0.0,15.207,2026-05-21T18:57:18.592541Z,2026-05-21T19:37:18.592541Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0005,user-001,0x9729df66f75894ba5c7f1d11e142d880266c840b9eef5dde5c940db2499b1f8b,0x99877797a1a17dd52cb75d9b8e7438990fcaf276fdf1a130ad34ed468ba1bfe7,-3.741,0.0,3.741,-3.741,2026-05-21T18:29:10.246582Z,2026-05-21T18:49:10.246582Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0006,user-008,0x614c81460e32aa763e544430376ee8e6dfc10218a3262fc00014124083fa6b43,0x4323d05efb4efdca5b1f4e126f9ca839dd010b23e3b3524fa85dcde3f9d96473,3.466,3.466,0.0,3.466,2026-05-21T20:33:15.894586Z,2026-05-21T21:03:15.894586Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0007,user-001,0x006889299d78c21450f4ff08a03902e903a01779af808c40b25eba846f863dd8,0x207de957cc5c9ceb9c5a91b1af1090c05a22280ccd2fb501e8e9c642831b6036,0.471,5.582,5.111,0.471,2026-05-21T03:19:00.708605Z,2026-05-21T03:49:00.708605Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0008,user-009,0x2354542a1e24ce356decc20d6b4b11d0f21ab766dd8b298cdc6a0ea763d32827,0x407193c539d819902d2d8613d8f6df868b118d2f038d04ce491a5582d754c0f9,2.666,3.714,1.048,2.666,2026-05-21T05:57:44.158115Z,2026-05-21T06:37:44.158115Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0009,user-006,0x1bec83a982ef1873d39459ce0b8bcee5b512502243742e54265d3a78fc34296f,0xf8c32b7b8623ee0c3729557e9d45778b460ff7ed7bf898d21aeaac72100b5c85,27.805,27.805,0.0,27.805,2026-05-21T05:40:59.066874Z,2026-05-21T06:55:59.066874Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0010,user-010,0x5764bcc029fec607ba6d8406d80bca6c615287673c0ae37b5f2bc1cdf3dc275d,0xc69439a1f0c1e5901308fd4a4d21a8d80a807e33ac4cb6c59f8e81890c7f355d,10.482,10.482,0.0,10.482,2026-05-21T13:49:40.881967Z,2026-05-21T14:19:40.881967Z,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
