session_id,user_id,evse_id,start_ts,end_ts,session_type,tariff_model
research_20260521_100_v3-0001,user-002,EVSE-046,2026-05-21T23:22:59.070749Z,2026-05-22T00:02:59.070749Z,bidirectional,TOU
research_20260521_100_v3-0002,user-004,EVSE-023,2026-05-21T13:12:08.338401Z,2026-05-21T13:52:08.338401Z,charge_only,TOU
research_20260521_100_v3-0003,user-008,EVSE-041,2026-05-21T11:06:49.892898Z,2026-05-21T12:06:49.892898Z,charge_only,TOU
research_20260521_100_v3-0004,user-006,EVSE-036,2026-05-21T18:57:18.592541Z,2026-05-21T19:37:18.592541Z,charge_only,TOU
research_20260521_100_v3-0005,user-001,EVSE-014,2026-05-21T18:29:10.246582Z,2026-05-21T18:49:10.246582Z,discharge_only,TOU
research_20260521_100_v3-0006,user-008,EVSE-009,2026-05-21T20:33:15.894586Z,2026-05-21T21:03:15.894586Z,charge_only,TOU
research_20260521_100_v3-0007,user-001,EVSE-001,2026-05-21T03:19:00.708605Z,2026-05-21T03:49:00.708605Z,bidirectional,TOU
research_20260521_100_v3-0008,user-009,EVSE-041,2026-05-21T05:57:44.158115Z,2026-05-21T06:37:44.158115Z,bidirectional,TOU
research_20260521_100_v3-0009,user-006,EVSE-036,2026-05-21T05:40:59.066874Z,2026-05-21T06:55:59.066874Z,charge_only,TOU
research_20260521_100_v3-0010,user-010,EVSE-029,2026-05-21T13:49:40.881967Z,2026-05-21T14:19:40.881967Z,charge_only,TOU
research_20260521_100_v3-0011,user-006,EVSE-031,2026-05-21T23:28:42.639935Z,2026-05-22T00:43:42.639935Z,charge_only,TOU
research_20260521_100_v3-0012,user-002,EVSE-013,2026-05-21T08:10:03.890442Z,2026-05-21T08:50:03.890442Z,discharge_only,TOU
research_20260521_100_v3-0013,user-007,EVSE-026,2026-05-21T19:34:46.633708Z,2026-05-21T20:34:46.633708Z,charge_only,TOU
research_20260521_100_v3-0014,user-001,EVSE-034,2026-05-21T00:20:09.315897Z,2026-05-21T01:00:09.315897Z,bidirectional,TOU
research_20260521_100_v3-0015,user-002,EVSE-040,2026-05-21T03:33:04.004082Z,2026-05-21T03:53:04.004082Z,bidirectional,TOU
research_20260521_100_v3-0016,user-010,EVSE-040,2026-05-21T11:26:11.573378Z,2026-05-21T12:06:11.573378Z,charge_only,TOU
research_20260521_100_v3-0017,user-002,EVSE-036,2026-05-21T11:04:48.387486Z,2026-05-21T12:19:48.387486Z,bidirectional,TOU
research_20260521_100_v3-0018,user-004,EVSE-018,2026-05-21T06:45:38.307031Z,2026-05-21T07:15:38.307031Z,charge_only,TOU
research_20260521_100_v3-0019,user-003,EVSE-038,2026-05-21T08:41:33.404201Z,2026-05-21T09:21:33.404201Z,charge_only,TOU
research_20260521_100_v3-0020,user-001,EVSE-040,2026-05-21T16:35:06.478566Z,2026-05-21T16:55:06.478566Z,bidirectional,TOU
research_20260521_100_v3-0021,user-004,EVSE-045,2026-05-21T03:13:58.067847Z,2026-05-21T03:43:58.067847Z,bidirectional,TOU
research_20260521_100_v3-0022,user-008,EVSE-002,2026-05-21T18:38:41.726804Z,2026-05-21T19:38:41.726804Z,discharge_only,TOU
research_20260521_100_v3-0023,user-003,EVSE-001,2026-05-21T10:02:57.047005Z,2026-05-21T10:42:57.047005Z,bidirectional,TOU
research_20260521_100_v3-0024,user-004,EVSE-033,2026-05-21T15:14:31.264838Z,2026-05-21T15:34:31.264838Z,charge_only,TOU
research_20260521_100_v3-0025,user-007,EVSE-011,2026-05-21T07:15:01.193014Z,2026-05-21T08:30:01.193014Z,bidirectional,TOU
research_20260521_100_v3-0026,user-010,EVSE-030,2026-05-21T15:56:19.734733Z,2026-05-21T16:26:19.734733Z,discharge_only,TOU
research_20260521_100_v3-0027,user-004,EVSE-008,2026-05-21T06:44:34.912901Z,2026-05-21T07:44:34.912901Z,discharge_only,TOU
research_20260521_100_v3-0028,user-009,EVSE-005,2026-05-21T00:16:26.092055Z,2026-05-21T01:31:26.092055Z,charge_only,TOU
research_20260521_100_v3-0029,user-006,EVSE-001,2026-05-21T16:18:37.093289Z,2026-05-21T17:33:37.093289Z,bidirectional,TOU
research_20260521_100_v3-0030,user-007,EVSE-040,2026-05-21T03:30:02.097071Z,2026-05-21T04:30:02.097071Z,charge_only,TOU
research_20260521_100_v3-0031,user-010,EVSE-014,2026-05-21T10:26:16.532667Z,2026-05-21T10:46:16.532667Z,charge_only,TOU
research_20260521_100_v3-0032,user-007,EVSE-016,2026-05-21T17:18:18.628409Z,2026-05-21T18:18:18.628409Z,charge_only,TOU
research_20260521_100_v3-0033,user-010,EVSE-013,2026-05-21T01:14:13.793280Z,2026-05-21T02:14:13.793280Z,bidirectional,TOU
research_20260521_100_v3-0034,user-004,EVSE-027,2026-05-21T21:32:15.727209Z,2026-05-21T22:12:15.727209Z,charge_only,TOU
research_20260521_100_v3-0035,user-006,EVSE-016,2026-05-21T08:43:45.446833Z,2026-05-21T09:43:45.446833Z,bidirectional,TOU
research_20260521_100_v3-0036,user-007,EVSE-042,2026-05-21T15:54:35.332041Z,2026-05-21T16:54:35.332041Z,bidirectional,TOU
research_20260521_100_v3-0037,user-001,EVSE-022,2026-05-21T21:45:00.190512Z,2026-05-21T22:15:00.190512Z,charge_only,TOU
research_20260521_100_v3-0038,user-005,EVSE-031,2026-05-21T17:56:58.722376Z,2026-05-21T18:16:58.722376Z,bidirectional,TOU
research_20260521_100_v3-0039,user-009,EVSE-004,2026-05-21T09:39:37.280020Z,2026-05-21T09:59:37.280020Z,bidirectional,TOU
research_20260521_100_v3-0040,user-003,EVSE-010,2026-05-21T08:40:28.061799Z,2026-05-21T09:40:28.061799Z,charge_only,TOU
research_20260521_100_v3-0041,user-002,EVSE-029,2026-05-21T00:07:45.474198Z,2026-05-21T00:27:45.474198Z,charge_only,TOU
research_20260521_100_v3-0042,user-010,EVSE-005,2026-05-21T00:13:21.299096Z,2026-05-21T00:53:21.299096Z,charge_only,TOU
research_20260521_100_v3-0043,user-010,EVSE-038,2026-05-21T12:42:19.561814Z,2026-05-21T13:02:19.561814Z,bidirectional,TOU
research_20260521_100_v3-0044,user-007,EVSE-008,2026-05-21T21:13:43.327467Z,2026-05-21T21:43:43.327467Z,bidirectional,TOU
research_20260521_100_v3-0045,user-007,EVSE-042,2026-05-21T01:21:32.772800Z,2026-05-21T02:36:32.772800Z,charge_only,TOU
research_20260521_100_v3-0046,user-010,EVSE-008,2026-05-21T13:31:19.537117Z,2026-05-21T14:31:19.537117Z,charge_only,TOU
research_20260521_100_v3-0047,user-009,EVSE-032,2026-05-21T04:11:06.289638Z,2026-05-21T04:31:06.289638Z,charge_only,TOU
research_20260521_100_v3-0048,user-004,EVSE-036,2026-05-21T17:34:26.341013Z,2026-05-21T18:04:26.341013Z,discharge_only,TOU
research_20260521_100_v3-0049,user-004,EVSE-046,2026-05-21T00:10:08.983156Z,2026-05-21T00:30:08.983156Z,charge_only,TOU
research_20260521_100_v3-0050,user-008,EVSE-032,2026-05-21T18:08:01.649715Z,2026-05-21T19:23:01.649715Z,discharge_only,TOU
research_20260521_100_v3-0051,user-008,EVSE-009,2026-05-21T15:42:01.291438Z,2026-05-21T16:57:01.291438Z,discharge_only,TOU
research_20260521_100_v3-0052,user-002,EVSE-035,2026-05-21T03:00:09.951682Z,2026-05-21T04:00:09.951682Z,charge_only,TOU
research_20260521_100_v3-0053,user-008,EVSE-007,2026-05-21T03:02:46.107297Z,2026-05-21T03:22:46.107297Z,bidirectional,TOU
research_20260521_100_v3-0054,user-001,EVSE-012,2026-05-21T22:52:46.380306Z,2026-05-21T23:12:46.380306Z,discharge_only,TOU
research_20260521_100_v3-0055,user-007,EVSE-019,2026-05-21T09:06:37.024158Z,2026-05-21T09:36:37.024158Z,charge_only,TOU
research_20260521_100_v3-0056,user-008,EVSE-037,2026-05-21T01:17:51.641142Z,2026-05-21T02:32:51.641142Z,charge_only,TOU
research_20260521_100_v3-0057,user-001,EVSE-029,2026-05-21T02:07:42.695199Z,2026-05-21T03:07:42.695199Z,charge_only,TOU
research_20260521_100_v3-0058,user-003,EVSE-031,2026-05-21T21:49:12.476336Z,2026-05-21T22:29:12.476336Z,charge_only,TOU
research_20260521_100_v3-0059,user-006,EVSE-007,2026-05-21T04:40:54.308665Z,2026-05-21T05:40:54.308665Z,bidirectional,TOU
research_20260521_100_v3-0060,user-010,EVSE-035,2026-05-21T02:45:42.109373Z,2026-05-21T04:00:42.109373Z,charge_only,TOU
research_20260521_100_v3-0061,user-003,EVSE-029,2026-05-21T02:44:00.249071Z,2026-05-21T03:04:00.249071Z,charge_only,TOU
research_20260521_100_v3-0062,user-002,EVSE-041,2026-05-21T00:26:27.845137Z,2026-05-21T01:06:27.845137Z,charge_only,TOU
research_20260521_100_v3-0063,user-006,EVSE-018,2026-05-21T18:08:15.647285Z,2026-05-21T18:38:15.647285Z,bidirectional,TOU
research_20260521_100_v3-0064,user-003,EVSE-004,2026-05-21T11:01:05.384527Z,2026-05-21T11:31:05.384527Z,charge_only,TOU
research_20260521_100_v3-0065,user-002,EVSE-026,2026-05-21T06:05:14.520237Z,2026-05-21T07:05:14.520237Z,charge_only,TOU
research_20260521_100_v3-0066,user-008,EVSE-021,2026-05-21T22:13:10.402158Z,2026-05-21T22:33:10.402158Z,charge_only,TOU
research_20260521_100_v3-0067,user-005,EVSE-031,2026-05-21T13:05:38.987921Z,2026-05-21T14:20:38.987921Z,bidirectional,TOU
research_20260521_100_v3-0068,user-002,EVSE-047,2026-05-21T13:37:05.868797Z,2026-05-21T14:17:05.868797Z,charge_only,TOU
research_20260521_100_v3-0069,user-005,EVSE-018,2026-05-21T15:32:37.769556Z,2026-05-21T16:47:37.769556Z,bidirectional,TOU
research_20260521_100_v3-0070,user-006,EVSE-027,2026-05-21T15:33:31.576448Z,2026-05-21T16:03:31.576448Z,charge_only,TOU
research_20260521_100_v3-0071,user-005,EVSE-043,2026-05-21T06:39:54.108387Z,2026-05-21T07:54:54.108387Z,bidirectional,TOU
research_20260521_100_v3-0072,user-010,EVSE-009,2026-05-21T22:40:06.838784Z,2026-05-21T23:10:06.838784Z,charge_only,TOU
research_20260521_100_v3-0073,user-009,EVSE-019,2026-05-21T10:34:26.283753Z,2026-05-21T11:14:26.283753Z,discharge_only,TOU
research_20260521_100_v3-0074,user-006,EVSE-047,2026-05-21T19:51:30.157198Z,2026-05-21T21:06:30.157198Z,charge_only,TOU
research_20260521_100_v3-0075,user-003,EVSE-049,2026-05-21T18:18:46.371451Z,2026-05-21T18:48:46.371451Z,bidirectional,TOU
research_20260521_100_v3-0076,user-010,EVSE-006,2026-05-21T08:33:05.505830Z,2026-05-21T09:48:05.505830Z,charge_only,TOU
research_20260521_100_v3-0077,user-008,EVSE-004,2026-05-21T10:03:19.539200Z,2026-05-21T10:23:19.539200Z,charge_only,TOU
research_20260521_100_v3-0078,user-006,EVSE-040,2026-05-21T00:24:21.885794Z,2026-05-21T00:44:21.885794Z,charge_only,TOU
research_20260521_100_v3-0079,user-005,EVSE-039,2026-05-21T14:41:07.209257Z,2026-05-21T15:21:07.209257Z,charge_only,TOU
research_20260521_100_v3-0080,user-010,EVSE-043,2026-05-21T08:03:23.914041Z,2026-05-21T08:43:23.914041Z,charge_only,TOU
research_20260521_100_v3-0081,user-009,EVSE-034,2026-05-21T21:44:25.663818Z,2026-05-21T22:44:25.663818Z,discharge_only,TOU
research_20260521_100_v3-0082,user-010,EVSE-031,2026-05-21T20:50:17.362820Z,2026-05-21T21:50:17.362820Z,bidirectional,TOU
research_20260521_100_v3-0083,user-010,EVSE-008,2026-05-21T00:21:24.401839Z,2026-05-21T01:21:24.401839Z,charge_only,TOU
research_20260521_100_v3-0084,user-005,EVSE-003,2026-05-21T13:11:58.819360Z,2026-05-21T14:26:58.819360Z,charge_only,TOU
research_20260521_100_v3-0085,user-003,EVSE-040,2026-05-21T05:46:16.124228Z,2026-05-21T06:46:16.124228Z,charge_only,TOU
research_20260521_100_v3-0086,user-008,EVSE-016,2026-05-21T09:39:41.746700Z,2026-05-21T09:59:41.746700Z,charge_only,TOU
research_20260521_100_v3-0087,user-002,EVSE-048,2026-05-21T11:25:10.934217Z,2026-05-21T12:05:10.934217Z,charge_only,TOU
research_20260521_100_v3-0088,user-006,EVSE-012,2026-05-21T18:11:46.720133Z,2026-05-21T18:31:46.720133Z,charge_only,TOU
research_20260521_100_v3-0089,user-008,EVSE-020,2026-05-21T08:49:18.022754Z,2026-05-21T09:19:18.022754Z,charge_only,TOU
research_20260521_100_v3-0090,user-009,EVSE-026,2026-05-21T12:37:18.260073Z,2026-05-21T12:57:18.260073Z,bidirectional,TOU
research_20260521_100_v3-0091,user-007,EVSE-012,2026-05-21T15:50:47.235306Z,2026-05-21T16:20:47.235306Z,charge_only,TOU
research_20260521_100_v3-0092,user-002,EVSE-041,2026-05-21T16:06:47.720178Z,2026-05-21T16:46:47.720178Z,discharge_only,TOU
research_20260521_100_v3-0093,user-002,EVSE-010,2026-05-21T07:52:29.712000Z,2026-05-21T08:52:29.712000Z,charge_only,TOU
research_20260521_100_v3-0094,user-006,EVSE-012,2026-05-21T13:19:43.645415Z,2026-05-21T13:39:43.645415Z,bidirectional,TOU
research_20260521_100_v3-0095,user-009,EVSE-029,2026-05-21T21:09:25.449990Z,2026-05-21T21:49:25.449990Z,discharge_only,TOU
research_20260521_100_v3-0096,user-006,EVSE-041,2026-05-21T07:57:18.642102Z,2026-05-21T08:17:18.642102Z,charge_only,TOU
research_20260521_100_v3-0097,user-004,EVSE-005,2026-05-21T21:04:14.283881Z,2026-05-21T21:34:14.283881Z,bidirectional,TOU
research_20260521_100_v3-0098,user-008,EVSE-010,2026-05-21T11:21:59.895423Z,2026-05-21T12:21:59.895423Z,bidirectional,TOU
research_20260521_100_v3-0099,user-004,EVSE-037,2026-05-21T15:40:43.605686Z,2026-05-21T16:55:43.605686Z,charge_only,TOU
research_20260521_100_v3-0100,user-002,EVSE-039,2026-05-21T22:53:32.100196Z,2026-05-22T00:08:32.100196Z,charge_only,TOU
