session_id,expected_hash,computed_hash,match,import_consistent,export_consistent,net_consistent,settlement_consistent,audit_ok,audit_reason,batch_day,batch_root
research_20260521_100_v3-0001,0x1bbcd24cf5de1e870fa1847dcc1f7ddb3a4fffba78b5bff3e35c8dc0686dde10,0x1bbcd24cf5de1e870fa1847dcc1f7ddb3a4fffba78b5bff3e35c8dc0686dde10,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0002,0x111c955d7816f1016b292e5a8a45bb0c128478332aa5f26c82946284a39538c0,0x111c955d7816f1016b292e5a8a45bb0c128478332aa5f26c82946284a39538c0,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0003,0x8a09d981d78bb00283b49acec477a8f38d5c2bbdda2899e7c1eaea96ba856f1d,0x8a09d981d78bb00283b49acec477a8f38d5c2bbdda2899e7c1eaea96ba856f1d,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0004,0x8d253912d0f61890696c75f0c2aa6d5c11c24d85c94250d93049353dec3ba8bf,0x8d253912d0f61890696c75f0c2aa6d5c11c24d85c94250d93049353dec3ba8bf,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0005,0x9729df66f75894ba5c7f1d11e142d880266c840b9eef5dde5c940db2499b1f8b,0x9729df66f75894ba5c7f1d11e142d880266c840b9eef5dde5c940db2499b1f8b,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0006,0x614c81460e32aa763e544430376ee8e6dfc10218a3262fc00014124083fa6b43,0x614c81460e32aa763e544430376ee8e6dfc10218a3262fc00014124083fa6b43,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0007,0x006889299d78c21450f4ff08a03902e903a01779af808c40b25eba846f863dd8,0x006889299d78c21450f4ff08a03902e903a01779af808c40b25eba846f863dd8,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0008,0x2354542a1e24ce356decc20d6b4b11d0f21ab766dd8b298cdc6a0ea763d32827,0x2354542a1e24ce356decc20d6b4b11d0f21ab766dd8b298cdc6a0ea763d32827,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0009,0x1bec83a982ef1873d39459ce0b8bcee5b512502243742e54265d3a78fc34296f,0x1bec83a982ef1873d39459ce0b8bcee5b512502243742e54265d3a78fc34296f,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0010,0x5764bcc029fec607ba6d8406d80bca6c615287673c0ae37b5f2bc1cdf3dc275d,0x5764bcc029fec607ba6d8406d80bca6c615287673c0ae37b5f2bc1cdf3dc275d,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
research_20260521_100_v3-0011,0xbb67fdbe4ac508f97cbb34a39068d71c2d5ec632541e40789a8996cf33d9832e,0xbb67fdbe4ac508f97cbb34a39068d71c2d5ec632541e40789a8996cf33d9832e,True,True,True,True,True,True,,2026-05-21,0x4ced300f57c4b8b4a9a8eb3b579c5f025e31f83e9f296c785e021d049bf1c6bf
