session_id,user_id,receipt_hash,merkle_root,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,batch_root
research_20260521_500-0001,user-002,0x93f92520a958db8377fb9b1e362ecbb4cc1cf4b6f6aa5b6b61fb1462c7f64c29,0x9a11397e0bc4c66c85ec51bac339fead65a34d0b9270688a166bff7a9a462e50,3.404,4.028,0.624,3.404,2026-05-21T23:22:59.070749Z,2026-05-22T00:02:59.070749Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0002,user-004,0x1f67c5905900f29ef9dd296bf84eb4062fd59965c33a20241874e38c22d03a18,0x3aa1c593a6ec26aba4e4c66ace0ebfc4a084cab241b68f307a6da1e1aae7fc06,4.893,4.893,0.0,4.893,2026-05-21T13:12:08.338401Z,2026-05-21T13:52:08.338401Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0003,user-008,0xa714cfbbd434a96f3cd5585b1f37d3a2bf99fd5d2fef6d26202791f76979a402,0xac17f828a4db5214aff1b6246c6663bc7bd40840d518976c53dcf1edcdcf1a06,7.318,7.318,0.0,7.318,2026-05-21T11:06:49.892898Z,2026-05-21T12:06:49.892898Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0004,user-006,0x3797930b9096f41d41c5348b37db1b17c3ddaba32dfa6ca6e5924f1b9e7f7ee9,0x06ab5ed4f3f811744c6fda00d5da36f112453f1cf5cf7e6e6e97247024a3ce79,15.207,15.207,0.0,15.207,2026-05-21T18:57:18.592541Z,2026-05-21T19:37:18.592541Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0005,user-001,0x9c9bed82f9adb7d94fd21d1fbb165c4e4e5dc9a19bc92bb1dc4e6a95c2062acb,0x99877797a1a17dd52cb75d9b8e7438990fcaf276fdf1a130ad34ed468ba1bfe7,-3.741,0.0,3.741,-3.741,2026-05-21T18:29:10.246582Z,2026-05-21T18:49:10.246582Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0006,user-008,0xb83b50e99e0c066a8986c66084b0445fa42038cef7f211e54a3cdd7b845ed483,0x4323d05efb4efdca5b1f4e126f9ca839dd010b23e3b3524fa85dcde3f9d96473,3.466,3.466,0.0,3.466,2026-05-21T20:33:15.894586Z,2026-05-21T21:03:15.894586Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0007,user-001,0x556e1c3178a87c6edfb3afde424c53d0cb41731f889094cc12020eba07006471,0x207de957cc5c9ceb9c5a91b1af1090c05a22280ccd2fb501e8e9c642831b6036,0.471,5.582,5.111,0.471,2026-05-21T03:19:00.708605Z,2026-05-21T03:49:00.708605Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0008,user-009,0xc700666da1627b7bf9d0d224fdfe4c4bb56efacec5819cc0bbe26282e27bc428,0x407193c539d819902d2d8613d8f6df868b118d2f038d04ce491a5582d754c0f9,2.666,3.714,1.048,2.666,2026-05-21T05:57:44.158115Z,2026-05-21T06:37:44.158115Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0009,user-006,0x0966fe4de40cc12878f0db29180062501e2afe212a9a8403f0ee92584cf5fd7d,0xf8c32b7b8623ee0c3729557e9d45778b460ff7ed7bf898d21aeaac72100b5c85,27.805,27.805,0.0,27.805,2026-05-21T05:40:59.066874Z,2026-05-21T06:55:59.066874Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0010,user-010,0x59eeed4933f219685493968dd703d745c4d84400da4eefbcfeef745fa46736f8,0xc69439a1f0c1e5901308fd4a4d21a8d80a807e33ac4cb6c59f8e81890c7f355d,10.482,10.482,0.0,10.482,2026-05-21T13:49:40.881967Z,2026-05-21T14:19:40.881967Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0011,user-006,0xc2d1fded86f534a09eb3d6221ffef7b6857dbd407369b5f0743b8a368cd46f50,0x1d2b1e26c02df043ecb87a40099d0b02f767f0f08c6813af3dbaf14834b17299,8.959,8.959,0.0,8.959,2026-05-21T23:28:42.639935Z,2026-05-22T00:43:42.639935Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0012,user-002,0xdbea303fb891799a79d6a0a49e67aafd5d993866f4c7d9750c7307e9d9b0c1cc,0xe85f739bad7d998978155c3092124de6f94729e507578aeb59744d41811138ba,-7.311,0.0,7.311,-7.311,2026-05-21T08:10:03.890442Z,2026-05-21T08:50:03.890442Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0013,user-007,0xdc4f26d4f661ffd44b3d72a9b9c16bd8dab9ef75118ceed5348aa1ae7400c34c,0x477aa5bd5093b58a02dca76b22201498df81f0fbf11dc673ac149b893eeb8bf8,7.205,7.205,0.0,7.205,2026-05-21T19:34:46.633708Z,2026-05-21T20:34:46.633708Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0014,user-001,0x0df9722c53ce27cf836f023c0fb167c3b1994aa9720090503e61b5294eb23c55,0x055fa2419ec67c6156f9358b8a5aa36bb375a71258de220c805275ad34004d7c,-0.141,3.852,3.993,-0.141,2026-05-21T00:20:09.315897Z,2026-05-21T01:00:09.315897Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0015,user-002,0x7da7bfd2da216fc5c03d26f8e3bafdb9d3da5e996b6850c32acf7d87563ccf19,0x22d48e5df4720bd1ceb34f329da19f187734597551a2f31de0e5e64274d3d57b,3.936,6.033,2.097,3.936,2026-05-21T03:33:04.004082Z,2026-05-21T03:53:04.004082Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
research_20260521_500-0016,user-010,0x12485ee1feb4f26c30ae6f555bb521c73917d528c050f6037a429557cb57a252,0x011c4c05ba29185225f141f87f0ad9068cb4831959bfd3d5748b0b758b17382d,4.855,4.855,0.0,4.855,2026-05-21T11:26:11.573378Z,2026-05-21T12:06:11.573378Z,2026-05-21,0xebcb58042d48b919f625932d411defdf4bef8193728afd4fc569200ebd3b2529
