session_id,user_id,receipt_hash,merkle_root,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,batch_root
research_20260521_smoke-0001,user-002,0xfe279f92a4b8dab7bf3050288e4c42e651505eac91e3c00dc998a068be14fefc,0x9a11397e0bc4c66c85ec51bac339fead65a34d0b9270688a166bff7a9a462e50,3.404,4.028,0.624,3.404,2026-05-21T23:22:59.070749Z,2026-05-22T00:02:59.070749Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0002,user-004,0x071581cd579c52697488075315dc395b6d803726d6ef2fdb1d06f55a5afc19e1,0x3aa1c593a6ec26aba4e4c66ace0ebfc4a084cab241b68f307a6da1e1aae7fc06,4.893,4.893,0.0,4.893,2026-05-21T13:12:08.338401Z,2026-05-21T13:52:08.338401Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0003,user-008,0x5367c50ec05cc898b82ef3abd0b14b3af3e17122d3e423e6b5252f8d688365f5,0xac17f828a4db5214aff1b6246c6663bc7bd40840d518976c53dcf1edcdcf1a06,7.318,7.318,0.0,7.318,2026-05-21T11:06:49.892898Z,2026-05-21T12:06:49.892898Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0004,user-006,0xbf5526e57029a2d7a1bbaab72797b5a1a2319b9ffb43d98441fb55bb8cef0f75,0x06ab5ed4f3f811744c6fda00d5da36f112453f1cf5cf7e6e6e97247024a3ce79,15.207,15.207,0.0,15.207,2026-05-21T18:57:18.592541Z,2026-05-21T19:37:18.592541Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0005,user-001,0x286e20283c396b36c88756035a04db286d63dec34918a050c5e5de0003ae230c,0x99877797a1a17dd52cb75d9b8e7438990fcaf276fdf1a130ad34ed468ba1bfe7,-3.741,0.0,3.741,-3.741,2026-05-21T18:29:10.246582Z,2026-05-21T18:49:10.246582Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0006,user-008,0xb71adacc092fe5270a8d76ebc4abb9d4e9c96ef88b0cfe98b43bf0b4e475c512,0x4323d05efb4efdca5b1f4e126f9ca839dd010b23e3b3524fa85dcde3f9d96473,3.466,3.466,0.0,3.466,2026-05-21T20:33:15.894586Z,2026-05-21T21:03:15.894586Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0007,user-001,0x2def2e45d0272b1ab5e71a6fe9b7636e0e9cb1e13a8b23fd9da7fc8fb486db9a,0x207de957cc5c9ceb9c5a91b1af1090c05a22280ccd2fb501e8e9c642831b6036,0.471,5.582,5.111,0.471,2026-05-21T03:19:00.708605Z,2026-05-21T03:49:00.708605Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0008,user-009,0x9fda37cf3790b14a4c976f44e92fc24ff341c71eb03413f826396155b7cc0239,0x407193c539d819902d2d8613d8f6df868b118d2f038d04ce491a5582d754c0f9,2.666,3.714,1.048,2.666,2026-05-21T05:57:44.158115Z,2026-05-21T06:37:44.158115Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0009,user-006,0xba781f78a07cdaed9e6faa0445eacc477bdcba5611aa0ac278f25bfc66ca6873,0xf8c32b7b8623ee0c3729557e9d45778b460ff7ed7bf898d21aeaac72100b5c85,27.805,27.805,0.0,27.805,2026-05-21T05:40:59.066874Z,2026-05-21T06:55:59.066874Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0010,user-010,0xc527a56678df209822406332360cffacb704803ed94d90a03bbcc5e3bb8fdd2d,0xc69439a1f0c1e5901308fd4a4d21a8d80a807e33ac4cb6c59f8e81890c7f355d,10.482,10.482,0.0,10.482,2026-05-21T13:49:40.881967Z,2026-05-21T14:19:40.881967Z,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
