session_id,expected_hash,computed_hash,match,import_consistent,export_consistent,net_consistent,settlement_consistent,audit_ok,audit_reason,batch_day,batch_root
research_20260521_smoke-0001,0xfe279f92a4b8dab7bf3050288e4c42e651505eac91e3c00dc998a068be14fefc,0xfe279f92a4b8dab7bf3050288e4c42e651505eac91e3c00dc998a068be14fefc,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0002,0x071581cd579c52697488075315dc395b6d803726d6ef2fdb1d06f55a5afc19e1,0x071581cd579c52697488075315dc395b6d803726d6ef2fdb1d06f55a5afc19e1,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0003,0x5367c50ec05cc898b82ef3abd0b14b3af3e17122d3e423e6b5252f8d688365f5,0x5367c50ec05cc898b82ef3abd0b14b3af3e17122d3e423e6b5252f8d688365f5,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0004,0xbf5526e57029a2d7a1bbaab72797b5a1a2319b9ffb43d98441fb55bb8cef0f75,0xbf5526e57029a2d7a1bbaab72797b5a1a2319b9ffb43d98441fb55bb8cef0f75,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0005,0x286e20283c396b36c88756035a04db286d63dec34918a050c5e5de0003ae230c,0x286e20283c396b36c88756035a04db286d63dec34918a050c5e5de0003ae230c,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0006,0xb71adacc092fe5270a8d76ebc4abb9d4e9c96ef88b0cfe98b43bf0b4e475c512,0xb71adacc092fe5270a8d76ebc4abb9d4e9c96ef88b0cfe98b43bf0b4e475c512,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0007,0x2def2e45d0272b1ab5e71a6fe9b7636e0e9cb1e13a8b23fd9da7fc8fb486db9a,0x2def2e45d0272b1ab5e71a6fe9b7636e0e9cb1e13a8b23fd9da7fc8fb486db9a,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0008,0x9fda37cf3790b14a4c976f44e92fc24ff341c71eb03413f826396155b7cc0239,0x9fda37cf3790b14a4c976f44e92fc24ff341c71eb03413f826396155b7cc0239,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0009,0xba781f78a07cdaed9e6faa0445eacc477bdcba5611aa0ac278f25bfc66ca6873,0xba781f78a07cdaed9e6faa0445eacc477bdcba5611aa0ac278f25bfc66ca6873,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
research_20260521_smoke-0010,0xc527a56678df209822406332360cffacb704803ed94d90a03bbcc5e3bb8fdd2d,0xc527a56678df209822406332360cffacb704803ed94d90a03bbcc5e3bb8fdd2d,True,True,True,True,True,True,,2026-05-21,0x6638a06da2a2f273455119ea606a5c45d682570b9c909be7196c7f0f5a5d9d05
