anchor_id,benchmark_id,duration_ms,duration_ns,metadata,observed_at_utc,repetition_index,run_id,seed,session_id,session_mode,stage,warmup,workload_size
,reviewer3_performance_final,2.337083,2337083,{},2026-08-01T14:06:26.523071Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_eligibility_query,True,10
,reviewer3_performance_final,0.000833,833,{},2026-08-01T14:06:26.523090Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_context_and_leaf_construction,True,10
,reviewer3_performance_final,0.347917,347917,{},2026-08-01T14:06:26.523446Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_merkle_construction,True,10
,reviewer3_performance_final,9.6515,9651500,{},2026-08-01T14:06:26.535028Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_anchor_persistence,True,10
,reviewer3_performance_final,14.359917,14359917,{},2026-08-01T14:06:26.535047Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_anchor_total,True,10
1,reviewer3_performance_final,1.17625,1176250,{},2026-08-01T14:06:26.538357Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_membership_load,True,10
1,reviewer3_performance_final,0.275833,275833,{},2026-08-01T14:06:26.539523Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_merkle_recomputation,True,10
1,reviewer3_performance_final,4.498625,4498625,{},2026-08-01T14:06:26.544053Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_snapshot_audit,True,10
1,reviewer3_performance_final,0.067959,67959,{},2026-08-01T14:06:26.544169Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_verification_persistence,True,10
,reviewer3_performance_final,9.070291,9070291,{},2026-08-01T14:06:26.544176Z,,reviewer3_performance_final_warmup_n0010_w01,42,,all,batch_verification_total,True,10
,reviewer3_performance_final,1.879084,1879084,{},2026-08-01T14:06:27.105097Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_eligibility_query,True,50
,reviewer3_performance_final,0.001041,1041,{},2026-08-01T14:06:27.105115Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_context_and_leaf_construction,True,50
,reviewer3_performance_final,0.595292,595292,{},2026-08-01T14:06:27.105715Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_merkle_construction,True,50
,reviewer3_performance_final,8.637291,8637291,{},2026-08-01T14:06:27.115358Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_anchor_persistence,True,50
,reviewer3_performance_final,12.191292,12191292,{},2026-08-01T14:06:27.115376Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_anchor_total,True,50
1,reviewer3_performance_final,1.014292,1014292,{},2026-08-01T14:06:27.118024Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_membership_load,True,50
1,reviewer3_performance_final,0.682417,682417,{},2026-08-01T14:06:27.119625Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_merkle_recomputation,True,50
1,reviewer3_performance_final,9.093875,9093875,{},2026-08-01T14:06:27.128768Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_snapshot_audit,True,50
1,reviewer3_performance_final,0.064708,64708,{},2026-08-01T14:06:27.128920Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_verification_persistence,True,50
,reviewer3_performance_final,13.482959,13482959,{},2026-08-01T14:06:27.128926Z,,reviewer3_performance_final_warmup_n0050_w01,42,,all,batch_verification_total,True,50
,reviewer3_performance_final,1.611041,1611041,{},2026-08-01T14:06:27.978893Z,,reviewer3_performance_final_warmup_n0100_w01,42,,all,batch_eligibility_query,True,100
,reviewer3_performance_final,0.000916,916,{},2026-08-01T14:06:27.978910Z,,reviewer3_performance_final_warmup_n0100_w01,42,,all,batch_context_and_leaf_construction,True,100
,reviewer3_performance_final,1.146458,1146458,{},2026-08-01T14:06:27.980061Z,,reviewer3_performance_final_warmup_n0100_w01,42,,all,batch_merkle_construction,True,100
,reviewer3_performance_final,13.267166,13267166,{},2026-08-01T14:06:27.994389Z,,reviewer3_performance_final_warmup_n0100_w01,42,,all,batch_anchor_persistence,True,100
