batch_context_match,batch_count_match,batch_leaf_hashes_match,batch_ordering_match,batch_root_match,batch_tree_root_match,canonical_receipt_validation_passed,chain_block_number,chain_gas_used,chain_receipt_count_match,chain_root_match,chain_status,chain_transaction_fee_wei,chain_tx,count_reconciliation_ok,database_counts_after,database_counts_before,end_to_end_duration_ns,ended_at_utc,execution_index,failure,load_average,num_meter_values,process_id,receipt_pipeline_mean_ms,receipt_pipeline_total_ns,receipt_throughput_per_sec,repetition,run_id,seed,session_type_composition,started_at_utc,valid,warmup,workload_size
True,True,True,True,True,True,True,84,143389,True,True,1,2481346645,0x251470f9654e66cfda9a48403ff04e23c2c1b71ac0bb17473adff5a8cd91e025,True,"{""batch_anchors"": 1, ""memberships"": 1000, ""meter_values"": 9845, ""receipts"": 1000, ""sessions"": 1000, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",9270378000,2026-08-01T14:06:50.818010Z,6,,"[2.607421875, 2.9306640625, 3.12158203125]",9845,6545,8.03987692,8039876920,124.38001351891343,2,reviewer3_performance_final_n1000_r02_seed43,43,"{""bidirectional"": 333, ""charge_only"": 334, ""discharge_only"": 333}",2026-08-01T14:06:41.515721Z,True,False,1000
True,True,True,True,True,True,True,85,143389,True,True,1,2174207407,0x407d6ba2d8c3743eb3a80db22d2aca361cc1959390162c42a611cc788c263008,True,"{""batch_anchors"": 1, ""memberships"": 1000, ""meter_values"": 9840, ""receipts"": 1000, ""sessions"": 1000, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",9779004000,2026-08-01T14:07:00.665579Z,7,,"[3.2822265625, 3.064453125, 3.16650390625]",9840,6545,8.578639659,8578639659,116.56859825682066,4,reviewer3_performance_final_n1000_r04_seed45,45,"{""bidirectional"": 333, ""charge_only"": 334, ""discharge_only"": 333}",2026-08-01T14:06:50.853782Z,True,False,1000
True,True,True,True,True,True,True,86,143377,True,True,1,1904906822,0x95c6b3fdc6df32b86cab06fbf5338480c767b6b3c2f57d156deb8940bc0ee15d,True,"{""batch_anchors"": 1, ""memberships"": 100, ""meter_values"": 1042, ""receipts"": 100, ""sessions"": 100, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",1035449125,2026-08-01T14:07:01.740037Z,8,,"[3.2822265625, 3.064453125, 3.16650390625]",1042,6545,7.964274570000001,796427457,125.56071381150286,6,reviewer3_performance_final_n0100_r06_seed47,47,"{""bidirectional"": 33, ""charge_only"": 34, ""discharge_only"": 33}",2026-08-01T14:07:00.699666Z,True,False,100
True,True,True,True,True,True,True,87,143377,True,True,1,1669195034,0xcce3a12e245ab0b8b0a530f22fae5191a33030d102120abc31a9fb51c6e4b308,True,"{""batch_anchors"": 1, ""memberships"": 500, ""meter_values"": 5117, ""receipts"": 500, ""sessions"": 500, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",4061162542,2026-08-01T14:07:05.850869Z,9,,"[3.25927734375, 3.06298828125, 3.16552734375]",5117,6545,6.817720162,3408860081,146.67659807654042,3,reviewer3_performance_final_n0500_r03_seed44,44,"{""bidirectional"": 166, ""charge_only"": 167, ""discharge_only"": 167}",2026-08-01T14:07:01.772093Z,True,False,500
True,True,True,True,True,True,True,88,143377,True,True,1,1462588777,0x7f9e354906c2764d0c3229f47cb09b6596ffe2871d3e0fa71f533239b7795475,True,"{""batch_anchors"": 1, ""memberships"": 10, ""meter_values"": 118, ""receipts"": 10, ""sessions"": 10, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",219338833,2026-08-01T14:07:06.106491Z,10,,"[3.25927734375, 3.06298828125, 3.16552734375]",118,6545,8.2225084,82225084,121.6173886791043,4,reviewer3_performance_final_n0010_r04_seed45,45,"{""bidirectional"": 3, ""charge_only"": 4, ""discharge_only"": 3}",2026-08-01T14:07:05.884811Z,True,False,10
True,True,True,True,True,True,True,89,143389,True,True,1,1281754271,0x3920b286d14595b543e4b2ded88a782a3da7ab925131003f3566774cff6aabdf,True,"{""batch_anchors"": 1, ""memberships"": 500, ""meter_values"": 4957, ""receipts"": 500, ""sessions"": 500, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",4253940833,2026-08-01T14:07:10.421344Z,11,,"[3.25927734375, 3.06298828125, 3.16552734375]",4957,6545,7.193135148,3596567574,139.02143911171237,4,reviewer3_performance_final_n0500_r04_seed45,45,"{""bidirectional"": 166, ""charge_only"": 167, ""discharge_only"": 167}",2026-08-01T14:07:06.147306Z,True,False,500
True,True,True,True,True,True,True,90,143377,True,True,1,1123072041,0x307348061d0c47f252ffd69b0edd77db34a8c87edecfa28e59ed984eaaad6055,True,"{""batch_anchors"": 1, ""memberships"": 100, ""meter_values"": 1061, ""receipts"": 100, ""sessions"": 100, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",1018035250,2026-08-01T14:07:11.483624Z,12,,"[3.078125, 3.0283203125, 3.15283203125]",1061,6545,7.8843324599999995,788433246,126.8338194860951,7,reviewer3_performance_final_n0100_r07_seed48,48,"{""bidirectional"": 33, ""charge_only"": 34, ""discharge_only"": 33}",2026-08-01T14:07:10.460052Z,True,False,100
True,True,True,True,True,True,True,91,143377,True,True,1,984139728,0x95beb7c10009c7da9fc026eceb5eb905eca50a70de5141439f792cc53805e243,True,"{""batch_anchors"": 1, ""memberships"": 10, ""meter_values"": 93, ""receipts"": 10, ""sessions"": 10, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",215598958,2026-08-01T14:07:11.731902Z,13,,"[3.078125, 3.0283203125, 3.15283203125]",93,6545,8.3181709,83181709,120.21873703027669,9,reviewer3_performance_final_n0010_r09_seed50,50,"{""bidirectional"": 3, ""charge_only"": 4, ""discharge_only"": 3}",2026-08-01T14:07:11.514263Z,True,False,10
True,True,True,True,True,True,True,92,143389,True,True,1,862484835,0xa216c7d323490858ff983d7b317f24d19fbced8faff789f29389eff1fd8832a1,True,"{""batch_anchors"": 1, ""memberships"": 1000, ""meter_values"": 10105, ""receipts"": 1000, ""sessions"": 1000, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",8960958208,2026-08-01T14:07:20.757492Z,14,,"[4.1005859375, 3.24267578125, 3.22705078125]",10105,6545,7.668048388,7668048388,130.41127929825473,5,reviewer3_performance_final_n1000_r05_seed46,46,"{""bidirectional"": 333, ""charge_only"": 334, ""discharge_only"": 333}",2026-08-01T14:07:11.763725Z,True,False,1000
True,True,True,True,True,True,True,93,143377,True,True,1,755740167,0x6f59f09c9932a716543e60327710b334fb93d36aed6db1d68154eda95c73cb47,True,"{""batch_anchors"": 1, ""memberships"": 50, ""meter_values"": 499, ""receipts"": 50, ""sessions"": 50, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",614494917,2026-08-01T14:07:21.420909Z,15,,"[4.1005859375, 3.24267578125, 3.22705078125]",499,6545,8.71241332,435620666,114.77876028957726,10,reviewer3_performance_final_n0050_r10_seed51,51,"{""bidirectional"": 16, ""charge_only"": 17, ""discharge_only"": 17}",2026-08-01T14:07:20.803069Z,True,False,50
