session_id,ts,energy_kwh
run_20260217_220238-0001,2026-02-17T08:38:13.524613Z,0.0
run_20260217_220238-0001,2026-02-17T08:43:13.524613Z,1.813
run_20260217_220238-0001,2026-02-17T08:48:13.524613Z,3.775
run_20260217_220238-0001,2026-02-17T08:53:13.524613Z,5.585
run_20260217_220238-0001,2026-02-17T08:58:13.524613Z,7.144
run_20260217_220238-0002,2026-02-17T13:51:25.954779Z,0.0
run_20260217_220238-0002,2026-02-17T13:56:25.954779Z,0.614
run_20260217_220238-0002,2026-02-17T14:01:25.954779Z,1.284
run_20260217_220238-0002,2026-02-17T14:06:25.954779Z,1.923
run_20260217_220238-0002,2026-02-17T14:11:25.954779Z,2.53
run_20260217_220238-0003,2026-02-17T13:54:53.487469Z,0.0
run_20260217_220238-0003,2026-02-17T13:59:53.487469Z,1.768
run_20260217_220238-0003,2026-02-17T14:04:53.487469Z,3.966
run_20260217_220238-0003,2026-02-17T14:09:53.487469Z,5.805
run_20260217_220238-0003,2026-02-17T14:14:53.487469Z,7.53
run_20260217_220238-0003,2026-02-17T14:19:53.487469Z,9.233
run_20260217_220238-0003,2026-02-17T14:24:53.487469Z,11.135
run_20260217_220238-0003,2026-02-17T14:29:53.487469Z,13.036
run_20260217_220238-0003,2026-02-17T14:34:53.487469Z,15.173
run_20260217_220238-0003,2026-02-17T14:39:53.487469Z,17.15
run_20260217_220238-0003,2026-02-17T14:44:53.487469Z,19.091
run_20260217_220238-0003,2026-02-17T14:49:53.487469Z,20.818
run_20260217_220238-0003,2026-02-17T14:54:53.487469Z,22.781
run_20260217_220238-0004,2026-02-17T06:28:11.173630Z,0.0
run_20260217_220238-0004,2026-02-17T06:33:11.173630Z,0.658
run_20260217_220238-0004,2026-02-17T06:38:11.173630Z,1.248
run_20260217_220238-0004,2026-02-17T06:43:11.173630Z,1.741
run_20260217_220238-0004,2026-02-17T06:48:11.173630Z,2.305
run_20260217_220238-0004,2026-02-17T06:53:11.173630Z,2.817
run_20260217_220238-0004,2026-02-17T06:58:11.173630Z,3.336
run_20260217_220238-0004,2026-02-17T07:03:11.173630Z,3.853
run_20260217_220238-0004,2026-02-17T07:08:11.173630Z,4.409
run_20260217_220238-0004,2026-02-17T07:13:11.173630Z,5.051
run_20260217_220238-0004,2026-02-17T07:18:11.173630Z,5.663
run_20260217_220238-0004,2026-02-17T07:23:11.173630Z,6.257
run_20260217_220238-0004,2026-02-17T07:28:11.173630Z,6.881
run_20260217_220238-0004,2026-02-17T07:33:11.173630Z,7.484
run_20260217_220238-0004,2026-02-17T07:38:11.173630Z,8.111
run_20260217_220238-0004,2026-02-17T07:43:11.173630Z,8.696
run_20260217_220238-0005,2026-02-17T15:27:24.611500Z,0.0
run_20260217_220238-0005,2026-02-17T15:32:24.611500Z,2.09
run_20260217_220238-0005,2026-02-17T15:37:24.611500Z,4.167
run_20260217_220238-0005,2026-02-17T15:42:24.611500Z,5.898
run_20260217_220238-0005,2026-02-17T15:47:24.611500Z,7.644
run_20260217_220238-0005,2026-02-17T15:52:24.611500Z,9.407
run_20260217_220238-0005,2026-02-17T15:57:24.611500Z,11.226
run_20260217_220238-0005,2026-02-17T16:02:24.611500Z,12.95
run_20260217_220238-0005,2026-02-17T16:07:24.611500Z,14.382
run_20260217_220238-0006,2026-02-17T18:42:45.248969Z,0.0
run_20260217_220238-0006,2026-02-17T18:47:45.248969Z,0.724
run_20260217_220238-0006,2026-02-17T18:52:45.248969Z,1.326
run_20260217_220238-0006,2026-02-17T18:57:45.248969Z,1.942
run_20260217_220238-0006,2026-02-17T19:02:45.248969Z,2.523
run_20260217_220238-0006,2026-02-17T19:07:45.248969Z,3.166
run_20260217_220238-0006,2026-02-17T19:12:45.248969Z,3.801
run_20260217_220238-0006,2026-02-17T19:17:45.248969Z,4.54
run_20260217_220238-0006,2026-02-17T19:22:45.248969Z,5.177
run_20260217_220238-0007,2026-02-17T02:45:03.375504Z,0.0
run_20260217_220238-0007,2026-02-17T02:50:03.375504Z,0.563
run_20260217_220238-0007,2026-02-17T02:55:03.375504Z,1.159
run_20260217_220238-0007,2026-02-17T03:00:03.375504Z,1.804
run_20260217_220238-0007,2026-02-17T03:05:03.375504Z,2.361
run_20260217_220238-0007,2026-02-17T03:10:03.375504Z,2.943
run_20260217_220238-0007,2026-02-17T03:15:03.375504Z,3.433
run_20260217_220238-0007,2026-02-17T03:20:03.375504Z,3.968
run_20260217_220238-0007,2026-02-17T03:25:03.375504Z,4.534
run_20260217_220238-0007,2026-02-17T03:30:03.375504Z,5.159
run_20260217_220238-0007,2026-02-17T03:35:03.375504Z,5.83
run_20260217_220238-0007,2026-02-17T03:40:03.375504Z,6.429
run_20260217_220238-0007,2026-02-17T03:45:03.375504Z,7.045
run_20260217_220238-0008,2026-02-17T20:08:37.555051Z,0.0
run_20260217_220238-0008,2026-02-17T20:13:37.555051Z,1.864
run_20260217_220238-0008,2026-02-17T20:18:37.555051Z,3.863
run_20260217_220238-0008,2026-02-17T20:23:37.555051Z,5.766
run_20260217_220238-0008,2026-02-17T20:28:37.555051Z,7.825
run_20260217_220238-0008,2026-02-17T20:33:37.555051Z,9.652
run_20260217_220238-0008,2026-02-17T20:38:37.555051Z,11.844
run_20260217_220238-0008,2026-02-17T20:43:37.555051Z,13.611
run_20260217_220238-0008,2026-02-17T20:48:37.555051Z,15.737
run_20260217_220238-0008,2026-02-17T20:53:37.555051Z,17.591
run_20260217_220238-0008,2026-02-17T20:58:37.555051Z,19.33
run_20260217_220238-0008,2026-02-17T21:03:37.555051Z,20.956
run_20260217_220238-0008,2026-02-17T21:08:37.555051Z,22.762
run_20260217_220238-0009,2026-02-17T20:11:15.170025Z,0.0
run_20260217_220238-0009,2026-02-17T20:16:15.170025Z,2.094
run_20260217_220238-0009,2026-02-17T20:21:15.170025Z,4.03
run_20260217_220238-0009,2026-02-17T20:26:15.170025Z,5.762
run_20260217_220238-0009,2026-02-17T20:31:15.170025Z,7.48
run_20260217_220238-0010,2026-02-17T16:49:14.370019Z,0.0
run_20260217_220238-0010,2026-02-17T16:54:14.370019Z,1.833
run_20260217_220238-0010,2026-02-17T16:59:14.370019Z,3.722
run_20260217_220238-0010,2026-02-17T17:04:14.370019Z,5.724
run_20260217_220238-0010,2026-02-17T17:09:14.370019Z,7.797
run_20260217_220238-0010,2026-02-17T17:14:14.370019Z,10.016
run_20260217_220238-0010,2026-02-17T17:19:14.370019Z,12.212
run_20260217_220238-0010,2026-02-17T17:24:14.370019Z,13.853
run_20260217_220238-0010,2026-02-17T17:29:14.370019Z,15.514
run_20260217_220238-0010,2026-02-17T17:34:14.370019Z,17.224
run_20260217_220238-0010,2026-02-17T17:39:14.370019Z,19.19
run_20260217_220238-0010,2026-02-17T17:44:14.370019Z,21.136
run_20260217_220238-0010,2026-02-17T17:49:14.370019Z,23.3
run_20260217_220238-0010,2026-02-17T17:54:14.370019Z,25.103
run_20260217_220238-0010,2026-02-17T17:59:14.370019Z,26.945
run_20260217_220238-0010,2026-02-17T18:04:14.370019Z,28.914
run_20260217_220238-0011,2026-02-17T21:55:39.541741Z,0.0
run_20260217_220238-0011,2026-02-17T22:00:39.541741Z,0.673
run_20260217_220238-0011,2026-02-17T22:05:39.541741Z,1.263
run_20260217_220238-0011,2026-02-17T22:10:39.541741Z,1.925
run_20260217_220238-0011,2026-02-17T22:15:39.541741Z,2.588
run_20260217_220238-0011,2026-02-17T22:20:39.541741Z,3.222
run_20260217_220238-0011,2026-02-17T22:25:39.541741Z,3.81
run_20260217_220238-0011,2026-02-17T22:30:39.541741Z,4.329
run_20260217_220238-0011,2026-02-17T22:35:39.541741Z,4.915
run_20260217_220238-0011,2026-02-17T22:40:39.541741Z,5.65
run_20260217_220238-0011,2026-02-17T22:45:39.541741Z,6.219
run_20260217_220238-0011,2026-02-17T22:50:39.541741Z,6.822
run_20260217_220238-0011,2026-02-17T22:55:39.541741Z,7.33
run_20260217_220238-0012,2026-02-17T00:05:59.095584Z,0.0
run_20260217_220238-0012,2026-02-17T00:10:59.095584Z,0.998
run_20260217_220238-0012,2026-02-17T00:15:59.095584Z,1.855
run_20260217_220238-0012,2026-02-17T00:20:59.095584Z,2.772
run_20260217_220238-0012,2026-02-17T00:25:59.095584Z,3.722
