session_id,receipt_hash,merkle_root,energy_kwh,start_ts,end_ts,batch_day,batch_root
run_20260217_220238-0001,0x7e526b4a69f1487246f043bacea695eb39a46495b329b62fbe13a9767906370a,0xbd64f5d903d0409b36ca4cf43ca5d55b8c3bca92c44e2201273789e204c600f4,7.144,2026-02-17T08:38:13.524613Z,2026-02-17T08:58:13.524613Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0002,0x0b4b2bef55ec3a2877ed42eff75548d2afa6cb29af6f9ad7a738a4e2759ff419,0xfc8b64fe4c6642276b447410c566f870ee467c8afe5604738c3cb5abe3797b9d,2.53,2026-02-17T13:51:25.954779Z,2026-02-17T14:11:25.954779Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0003,0x04583aea8dd0e91f00ab949c56f65e0103b3256bd5b925d351417974a871a659,0xf8ad652da323da39eea836c44550ba6d21856f7ff4eb2d5cbac552adfab3e05d,22.781,2026-02-17T13:54:53.487469Z,2026-02-17T14:54:53.487469Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0004,0xe31da02c47dbec520e978de675e7d7a4d101450ed1655869a231528daea83076,0x6a28d6737b48ef1314a7ff7009ee45201c5eca78543772943a1220f6c335ce30,8.696,2026-02-17T06:28:11.173630Z,2026-02-17T07:43:11.173630Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0005,0xd523bfe2568c4f9dfa3ffd807962e7329867094d199fdb9d4f937de0be3e1385,0x912a7b93b83a8d148c95eacc7a99919f5cdb5659f8253bff606b17a985df968b,14.382,2026-02-17T15:27:24.611500Z,2026-02-17T16:07:24.611500Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0006,0xb733c15810ff9ece2ff50c0a6bebefa1a8dc5fcd553bb9764458ac5d829e8bbf,0xf3733f7cdbb9694b15a4d7e5aaf200d2d286b61d70480e680a6507bce2c01a5e,5.177,2026-02-17T18:42:45.248969Z,2026-02-17T19:22:45.248969Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0007,0xaa5e1fa0737c309d6e5579dede62984afa22535414e1ebec938fac9f9f3be797,0x1a4857d143fc5695acb5c214bbe0b530d9676a357324c1965aae126264e785e6,7.045,2026-02-17T02:45:03.375504Z,2026-02-17T03:45:03.375504Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0008,0xb8fc10dd5caf9ca82b40f541ad2eaa16ce53fdff123ee58e5c1de7b95a8e8967,0x52925928e940ec554a4e6e641552f67a609411e99f0d407a5b16641aa60b29f9,22.762,2026-02-17T20:08:37.555051Z,2026-02-17T21:08:37.555051Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0009,0xa1546c4ccc5493335b3d4b64f784aebd3ae3b7ce9df9b63dd049954ab4b77847,0x5700f8d8783e27298f1f3255f70540822a8d9d3e25990129092c63a56b5623f3,7.48,2026-02-17T20:11:15.170025Z,2026-02-17T20:31:15.170025Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0010,0x72e57988e6a8af6bd234f6d67737af8b8f4e0b1f4851082e472a9c0a23bd1ac2,0x733271e4f49af483918da4275645f8a2f4db05885cd37ef8613f989e1b2b8abb,28.914,2026-02-17T16:49:14.370019Z,2026-02-17T18:04:14.370019Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
run_20260217_220238-0011,0xcb707b8ce370ee04d8628ee8746073f33765e4c547be9ad28ded89b04967f495,0xcbf5e7e081d0a374eccc2a90de0a7ada57d34557502c4a4748fc47fde0c8a289,7.33,2026-02-17T21:55:39.541741Z,2026-02-17T22:55:39.541741Z,2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1
