session_id,user_id,receipt_hash,merkle_root,energy_kwh,start_ts,end_ts,batch_day,batch_root
run_20260217_222909-0001,user-002,0x5be840eb218ba47ad8ea0f9c5936d63a53a1935efb43c6039426df0f3bbc29ad,0x5d4e6893d5e6045e9284bdb0515798893f069bc8190ec7b35c8663e85be3b646,4.879,2026-02-17T23:22:59.070749Z,2026-02-18T00:02:59.070749Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0002,user-009,0xfc86976d6495006f7269d99f7cf3fce59b8f2b3e5de18e9893afdd916f16b00a,0xc3ca76bbcc14941c8ea3f3df93c88d6555925255c6783af517ca287b252df8c4,13.956,2026-02-17T19:12:40.426981Z,2026-02-17T20:27:40.426981Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0003,user-007,0x3dcc9e1bb9f492f2835b3393be6a20a3e5394495b9885a0dddf9292dbfe1be99,0x8a4d9d39bc7f9ee81127f076c3cdcb1c6e9c41db52e5327070e1a9b3d33d4b40,13.632,2026-02-17T22:05:31.662886Z,2026-02-17T22:45:31.662886Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0004,user-007,0x5573cb49563da9cacacbcc5151c011ec9fd80956edd1abdb3daa7d3c6930b99a,0x90a6d9d5e05e086c57781be972b7b3569ba56c76c255110784338bde94cb00e7,4.882,2026-02-17T17:18:43.080691Z,2026-02-17T17:58:43.080691Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0005,user-005,0x589a77675eaf39a02577ea9503da9791de7982b8d9fd0fd5e5ea5c7e2565be33,0x18109062b926500fbf616dcf7f5536594218bb0b4ebfca8712176591237312f6,9.089,2026-02-17T00:14:05.182505Z,2026-02-17T01:29:05.182505Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0006,user-003,0x121254f16815c1e5c517f0ff8103cd374d242646fe71c69da65f33971946d7ee,0x10c9f9e2fb38c9e1049fdcc2d1385f16c1b16175e55ada6547b2d8663b4d88fb,27.595,2026-02-17T18:03:51.383335Z,2026-02-17T19:18:51.383335Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0007,user-009,0x27a7435f79a3b367402e1e9ea6c1af0ec08a53a31c98d27dfa9b28668dae28e6,0x067accc745f04f69c9bf9c61ed14e68dfb5f05c6bb614d6245d9cdd5eb4f7122,7.283,2026-02-17T03:19:28.633727Z,2026-02-17T03:39:28.633727Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0008,user-005,0xca0739399c72adcf9298415b1e4157b98c2e170ab10a3cc11e14e31b03a3900a,0x2ea3d7baa93ad1a3ba5e6d886b5b9f9a4e1b0408d5ac53107977fd5da1490312,7.453,2026-02-17T13:32:56.282342Z,2026-02-17T14:32:56.282342Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0009,user-009,0xc78c8fb6f93d8b1a453e0bccf747806b9c541fdd7df3d1520491fe5afe9c1de8,0x9a3a6beca7e8cf7599028ebdcdf5985235771aa055187616175c93827ad93d36,13.965,2026-02-17T01:56:22.162084Z,2026-02-17T03:11:22.162084Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0010,user-009,0x1aa255d5c1d45186a93cdbf15cfe7d2019ff5c0229036e3863ecf46d404de391,0x744ad5e69b832af90318cc864d417c539413b719652985605152b3822ad1354f,27.702,2026-02-17T20:01:13.030745Z,2026-02-17T21:16:13.030745Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0011,user-001,0x2e898e77d47e73c9af09870332b2192e3b75ac1c1d413ff484e289a2b20e9e55,0xd6591f87994a2077b0f5daf7349a9a94980675bc0ead2c3c5b7f7b26efbe780d,3.79,2026-02-17T18:29:19.429879Z,2026-02-17T18:49:19.429879Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0012,user-010,0x38acbe5340043e23afa6d43dc462992f132627b9e8481472a73d67c386039b0b,0x9f704ffbcd1f163bbb096b6cf60c6d62c695633648e8ea1368dd7cd88da4d7a2,5.454,2026-02-17T10:09:15.313464Z,2026-02-17T10:39:15.313464Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
run_20260217_222909-0013,user-002,0xedd0364670c8e72b153884fc0b39aab4bbcdf6c767d4d149affa06086e5ae941,0x1720cc7db28a75c7f8ff1b570d39e7d3f53f9a2294c3397f314a676d61a40894,4.925,2026-02-17T22:31:43.064960Z,2026-02-17T23:11:43.064960Z,2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd
