session_id,user_id,evse_id,start_ts,end_ts,tariff_model
run_20260217_224037-0001,user-002,EVSE-033,2026-02-17T23:22:59.070749Z,2026-02-18T00:02:59.070749Z,TOU
run_20260217_224037-0002,user-009,EVSE-035,2026-02-17T19:12:40.426981Z,2026-02-17T20:27:40.426981Z,TOU
run_20260217_224037-0003,user-007,EVSE-015,2026-02-17T22:05:31.662886Z,2026-02-17T22:45:31.662886Z,TOU
run_20260217_224037-0004,user-007,EVSE-011,2026-02-17T17:18:43.080691Z,2026-02-17T17:58:43.080691Z,TOU
run_20260217_224037-0005,user-005,EVSE-030,2026-02-17T00:14:05.182505Z,2026-02-17T01:29:05.182505Z,TOU
run_20260217_224037-0006,user-003,EVSE-034,2026-02-17T18:03:51.383335Z,2026-02-17T19:18:51.383335Z,TOU
run_20260217_224037-0007,user-009,EVSE-042,2026-02-17T03:19:28.633727Z,2026-02-17T03:39:28.633727Z,TOU
run_20260217_224037-0008,user-005,EVSE-035,2026-02-17T13:32:56.282342Z,2026-02-17T14:32:56.282342Z,TOU
run_20260217_224037-0009,user-009,EVSE-043,2026-02-17T01:56:22.162084Z,2026-02-17T03:11:22.162084Z,TOU
run_20260217_224037-0010,user-009,EVSE-005,2026-02-17T20:01:13.030745Z,2026-02-17T21:16:13.030745Z,TOU
run_20260217_224037-0011,user-001,EVSE-009,2026-02-17T18:29:19.429879Z,2026-02-17T18:49:19.429879Z,TOU
run_20260217_224037-0012,user-010,EVSE-047,2026-02-17T10:09:15.313464Z,2026-02-17T10:39:15.313464Z,TOU
run_20260217_224037-0013,user-002,EVSE-036,2026-02-17T22:31:43.064960Z,2026-02-17T23:11:43.064960Z,TOU
run_20260217_224037-0014,user-009,EVSE-004,2026-02-17T03:55:07.216649Z,2026-02-17T04:15:07.216649Z,TOU
run_20260217_224037-0015,user-001,EVSE-004,2026-02-17T00:20:09.315897Z,2026-02-17T01:00:09.315897Z,TOU
run_20260217_224037-0016,user-009,EVSE-005,2026-02-17T22:31:13.265824Z,2026-02-17T23:11:13.265824Z,TOU
run_20260217_224037-0017,user-004,EVSE-005,2026-02-17T14:17:33.792366Z,2026-02-17T15:32:33.792366Z,TOU
