session_id,user_id,evse_id,start_ts,end_ts,session_type,tariff_model
run_20260307_223049-0001,user-002,EVSE-002,2026-03-07T23:22:59.070749Z,2026-03-08T00:02:59.070749Z,discharge_only,TOU
run_20260307_223049-0002,user-009,EVSE-003,2026-03-07T13:54:53.487469Z,2026-03-07T14:54:53.487469Z,discharge_only,TOU
run_20260307_223049-0003,user-007,EVSE-007,2026-03-07T22:05:31.662886Z,2026-03-07T22:45:31.662886Z,charge_only,TOU
run_20260307_223049-0004,user-006,EVSE-041,2026-03-07T20:04:46.686006Z,2026-03-07T20:44:46.686006Z,charge_only,TOU
run_20260307_223049-0005,user-006,EVSE-037,2026-03-07T03:45:17.594096Z,2026-03-07T04:05:17.594096Z,charge_only,TOU
run_20260307_223049-0006,user-008,EVSE-041,2026-03-07T14:29:17.403748Z,2026-03-07T15:29:17.403748Z,discharge_only,TOU
run_20260307_223049-0007,user-010,EVSE-047,2026-03-07T22:27:31.206188Z,2026-03-07T23:27:31.206188Z,charge_only,TOU
run_20260307_223049-0008,user-009,EVSE-037,2026-03-07T05:41:46.466002Z,2026-03-07T06:56:46.466002Z,charge_only,TOU
run_20260307_223049-0009,user-008,EVSE-005,2026-03-07T04:23:55.590905Z,2026-03-07T05:38:55.590905Z,bidirectional,TOU
run_20260307_223049-0010,user-004,EVSE-033,2026-03-07T09:51:38.774115Z,2026-03-07T10:11:38.774115Z,charge_only,TOU
run_20260307_223049-0011,user-004,EVSE-029,2026-03-07T11:02:30.188327Z,2026-03-07T12:17:30.188327Z,charge_only,TOU
run_20260307_223049-0012,user-008,EVSE-001,2026-03-07T17:59:16.722903Z,2026-03-07T18:19:16.722903Z,charge_only,TOU
run_20260307_223049-0013,user-004,EVSE-010,2026-03-07T19:59:30.720044Z,2026-03-07T20:59:30.720044Z,discharge_only,TOU
run_20260307_223049-0014,user-001,EVSE-039,2026-03-07T10:04:58.822873Z,2026-03-07T11:19:58.822873Z,charge_only,TOU
run_20260307_223049-0015,user-010,EVSE-030,2026-03-07T10:25:04.393780Z,2026-03-07T11:05:04.393780Z,discharge_only,TOU
run_20260307_223049-0016,user-002,EVSE-046,2026-03-07T22:13:30.273697Z,2026-03-07T22:43:30.273697Z,discharge_only,TOU
run_20260307_223049-0017,user-009,EVSE-018,2026-03-07T23:47:44.083542Z,2026-03-08T01:02:44.083542Z,charge_only,TOU
run_20260307_223049-0018,user-003,EVSE-038,2026-03-07T08:41:33.404201Z,2026-03-07T09:21:33.404201Z,charge_only,TOU
run_20260307_223049-0019,user-001,EVSE-027,2026-03-07T16:35:06.478566Z,2026-03-07T16:55:06.478566Z,discharge_only,TOU
run_20260307_223049-0020,user-004,EVSE-045,2026-03-07T03:13:58.067847Z,2026-03-07T03:43:58.067847Z,bidirectional,TOU
run_20260307_223049-0021,user-008,EVSE-002,2026-03-07T18:38:41.726804Z,2026-03-07T19:38:41.726804Z,discharge_only,TOU
run_20260307_223049-0022,user-003,EVSE-001,2026-03-07T10:02:57.047005Z,2026-03-07T10:42:57.047005Z,bidirectional,TOU
run_20260307_223049-0023,user-004,EVSE-033,2026-03-07T15:14:31.264838Z,2026-03-07T15:34:31.264838Z,charge_only,TOU
run_20260307_223049-0024,user-007,EVSE-011,2026-03-07T07:15:01.193014Z,2026-03-07T08:30:01.193014Z,bidirectional,TOU
run_20260307_223049-0025,user-010,EVSE-030,2026-03-07T15:56:19.734733Z,2026-03-07T16:26:19.734733Z,discharge_only,TOU
run_20260307_223049-0026,user-004,EVSE-008,2026-03-07T06:44:34.912901Z,2026-03-07T07:44:34.912901Z,discharge_only,TOU
run_20260307_223049-0027,user-009,EVSE-005,2026-03-07T00:16:26.092055Z,2026-03-07T01:31:26.092055Z,charge_only,TOU
run_20260307_223049-0028,user-006,EVSE-001,2026-03-07T16:18:37.093289Z,2026-03-07T17:33:37.093289Z,bidirectional,TOU
run_20260307_223049-0029,user-007,EVSE-040,2026-03-07T03:30:02.097071Z,2026-03-07T04:30:02.097071Z,charge_only,TOU
run_20260307_223049-0030,user-010,EVSE-014,2026-03-07T10:26:16.532667Z,2026-03-07T10:46:16.532667Z,charge_only,TOU
run_20260307_223049-0031,user-007,EVSE-016,2026-03-07T17:18:18.628409Z,2026-03-07T18:18:18.628409Z,charge_only,TOU
run_20260307_223049-0032,user-010,EVSE-046,2026-03-07T01:14:13.793280Z,2026-03-07T02:14:13.793280Z,discharge_only,TOU
run_20260307_223049-0033,user-004,EVSE-027,2026-03-07T21:32:15.727209Z,2026-03-07T22:12:15.727209Z,charge_only,TOU
run_20260307_223049-0034,user-006,EVSE-016,2026-03-07T08:43:45.446833Z,2026-03-07T09:43:45.446833Z,bidirectional,TOU
run_20260307_223049-0035,user-007,EVSE-042,2026-03-07T15:54:35.332041Z,2026-03-07T16:54:35.332041Z,bidirectional,TOU
run_20260307_223049-0036,user-001,EVSE-022,2026-03-07T21:45:00.190512Z,2026-03-07T22:15:00.190512Z,charge_only,TOU
run_20260307_223049-0037,user-005,EVSE-031,2026-03-07T17:56:58.722376Z,2026-03-07T18:16:58.722376Z,bidirectional,TOU
run_20260307_223049-0038,user-009,EVSE-003,2026-03-07T09:39:37.280020Z,2026-03-07T09:59:37.280020Z,discharge_only,TOU
run_20260307_223049-0039,user-003,EVSE-010,2026-03-07T08:40:28.061799Z,2026-03-07T09:40:28.061799Z,charge_only,TOU
run_20260307_223049-0040,user-002,EVSE-029,2026-03-07T00:07:45.474198Z,2026-03-07T00:27:45.474198Z,charge_only,TOU
run_20260307_223049-0041,user-010,EVSE-005,2026-03-07T00:13:21.299096Z,2026-03-07T00:53:21.299096Z,charge_only,TOU
run_20260307_223049-0042,user-010,EVSE-017,2026-03-07T12:42:19.561814Z,2026-03-07T13:02:19.561814Z,discharge_only,TOU
run_20260307_223049-0043,user-004,EVSE-028,2026-03-07T13:46:47.993329Z,2026-03-07T15:01:47.993329Z,charge_only,TOU
run_20260307_223049-0044,user-001,EVSE-022,2026-03-07T21:47:29.356995Z,2026-03-07T23:02:29.356995Z,charge_only,TOU
run_20260307_223049-0045,user-003,EVSE-004,2026-03-07T16:04:04.963467Z,2026-03-07T17:04:04.963467Z,charge_only,TOU
run_20260307_223049-0046,user-008,EVSE-002,2026-03-07T08:58:24.684679Z,2026-03-07T09:18:24.684679Z,discharge_only,TOU
run_20260307_223049-0047,user-004,EVSE-046,2026-03-07T06:56:54.763911Z,2026-03-07T07:36:54.763911Z,bidirectional,TOU
run_20260307_223049-0048,user-008,EVSE-035,2026-03-07T18:08:01.649715Z,2026-03-07T19:23:01.649715Z,discharge_only,TOU
run_20260307_223049-0049,user-009,EVSE-043,2026-03-07T14:55:49.051316Z,2026-03-07T15:35:49.051316Z,charge_only,TOU
run_20260307_223049-0050,user-003,EVSE-034,2026-03-07T12:05:43.604673Z,2026-03-07T12:25:43.604673Z,charge_only,TOU
run_20260307_223049-0051,user-003,EVSE-035,2026-03-07T14:08:37.847254Z,2026-03-07T14:38:37.847254Z,charge_only,TOU
run_20260307_223049-0052,user-008,EVSE-007,2026-03-07T03:02:46.107297Z,2026-03-07T03:22:46.107297Z,bidirectional,TOU
run_20260307_223049-0053,user-001,EVSE-012,2026-03-07T22:52:46.380306Z,2026-03-07T23:12:46.380306Z,discharge_only,TOU
run_20260307_223049-0054,user-007,EVSE-019,2026-03-07T09:06:37.024158Z,2026-03-07T09:36:37.024158Z,charge_only,TOU
run_20260307_223049-0055,user-008,EVSE-037,2026-03-07T01:17:51.641142Z,2026-03-07T02:32:51.641142Z,charge_only,TOU
run_20260307_223049-0056,user-001,EVSE-029,2026-03-07T02:07:42.695199Z,2026-03-07T03:07:42.695199Z,charge_only,TOU
run_20260307_223049-0057,user-003,EVSE-031,2026-03-07T21:49:12.476336Z,2026-03-07T22:29:12.476336Z,charge_only,TOU
run_20260307_223049-0058,user-006,EVSE-007,2026-03-07T04:40:54.308665Z,2026-03-07T05:40:54.308665Z,bidirectional,TOU
run_20260307_223049-0059,user-010,EVSE-035,2026-03-07T02:45:42.109373Z,2026-03-07T04:00:42.109373Z,charge_only,TOU
run_20260307_223049-0060,user-003,EVSE-029,2026-03-07T02:44:00.249071Z,2026-03-07T03:04:00.249071Z,charge_only,TOU
run_20260307_223049-0061,user-002,EVSE-041,2026-03-07T00:26:27.845137Z,2026-03-07T01:06:27.845137Z,charge_only,TOU
run_20260307_223049-0062,user-006,EVSE-039,2026-03-07T18:08:15.647285Z,2026-03-07T18:38:15.647285Z,discharge_only,TOU
run_20260307_223049-0063,user-003,EVSE-038,2026-03-07T00:16:57.640903Z,2026-03-07T01:31:57.640903Z,charge_only,TOU
run_20260307_223049-0064,user-010,EVSE-034,2026-03-07T22:56:33.260812Z,2026-03-08T00:11:33.260812Z,charge_only,TOU
run_20260307_223049-0065,user-007,EVSE-015,2026-03-07T21:36:10.980911Z,2026-03-07T21:56:10.980911Z,charge_only,TOU
run_20260307_223049-0066,user-007,EVSE-005,2026-03-07T13:59:58.494217Z,2026-03-07T14:19:58.494217Z,charge_only,TOU
run_20260307_223049-0067,user-007,EVSE-047,2026-03-07T21:39:56.833026Z,2026-03-07T22:19:56.833026Z,charge_only,TOU
run_20260307_223049-0068,user-005,EVSE-043,2026-03-07T15:32:37.769556Z,2026-03-07T16:47:37.769556Z,discharge_only,TOU
run_20260307_223049-0069,user-003,EVSE-025,2026-03-07T17:25:29.438415Z,2026-03-07T18:05:29.438415Z,discharge_only,TOU
run_20260307_223049-0070,user-006,EVSE-027,2026-03-07T16:30:14.531258Z,2026-03-07T17:10:14.531258Z,charge_only,TOU
run_20260307_223049-0071,user-002,EVSE-039,2026-03-07T15:41:57.065286Z,2026-03-07T16:01:57.065286Z,charge_only,TOU
run_20260307_223049-0072,user-004,EVSE-005,2026-03-07T05:34:01.000841Z,2026-03-07T06:14:01.000841Z,discharge_only,TOU
run_20260307_223049-0073,user-007,EVSE-002,2026-03-07T23:32:00.731239Z,2026-03-07T23:52:00.731239Z,charge_only,TOU
run_20260307_223049-0074,user-010,EVSE-005,2026-03-07T12:56:27.627676Z,2026-03-07T13:36:27.627676Z,charge_only,TOU
run_20260307_223049-0075,user-009,EVSE-012,2026-03-07T19:19:46.719779Z,2026-03-07T19:59:46.719779Z,charge_only,TOU
run_20260307_223049-0076,user-008,EVSE-019,2026-03-07T05:52:35.880699Z,2026-03-07T07:07:35.880699Z,charge_only,TOU
run_20260307_223049-0077,user-002,EVSE-033,2026-03-07T09:13:23.275241Z,2026-03-07T10:28:23.275241Z,charge_only,TOU
run_20260307_223049-0078,user-008,EVSE-006,2026-03-07T00:11:58.807643Z,2026-03-07T01:26:58.807643Z,charge_only,TOU
run_20260307_223049-0079,user-006,EVSE-024,2026-03-07T16:32:15.977876Z,2026-03-07T17:32:15.977876Z,charge_only,TOU
run_20260307_223049-0080,user-004,EVSE-011,2026-03-07T15:46:54.325381Z,2026-03-07T16:46:54.325381Z,discharge_only,TOU
run_20260307_223049-0081,user-010,EVSE-029,2026-03-07T04:33:58.622623Z,2026-03-07T05:03:58.622623Z,charge_only,TOU
run_20260307_223049-0082,user-008,EVSE-011,2026-03-07T02:17:16.617185Z,2026-03-07T02:47:16.617185Z,charge_only,TOU
run_20260307_223049-0083,user-003,EVSE-008,2026-03-07T03:01:52.634107Z,2026-03-07T03:21:52.634107Z,charge_only,TOU
run_20260307_223049-0084,user-005,EVSE-022,2026-03-07T13:11:58.819360Z,2026-03-07T14:26:58.819360Z,charge_only,TOU
run_20260307_223049-0085,user-005,EVSE-008,2026-03-07T01:57:56.970773Z,2026-03-07T02:57:56.970773Z,charge_only,TOU
run_20260307_223049-0086,user-010,EVSE-028,2026-03-07T13:00:45.383523Z,2026-03-07T13:20:45.383523Z,charge_only,TOU
run_20260307_223049-0087,user-010,EVSE-036,2026-03-07T13:59:08.559774Z,2026-03-07T14:19:08.559774Z,charge_only,TOU
run_20260307_223049-0088,user-001,EVSE-023,2026-03-07T08:43:38.043617Z,2026-03-07T09:23:38.043617Z,charge_only,TOU
run_20260307_223049-0089,user-003,EVSE-031,2026-03-07T04:03:14.852056Z,2026-03-07T05:03:14.852056Z,charge_only,TOU
run_20260307_223049-0090,user-004,EVSE-025,2026-03-07T17:07:00.018624Z,2026-03-07T17:27:00.018624Z,discharge_only,TOU
run_20260307_223049-0091,user-008,EVSE-028,2026-03-07T15:10:01.225511Z,2026-03-07T16:25:01.225511Z,charge_only,TOU
run_20260307_223049-0092,user-001,EVSE-010,2026-03-07T22:10:56.443345Z,2026-03-07T23:10:56.443345Z,charge_only,TOU
