session_id,ts,energy_kwh,import_kwh,export_kwh
run_20260521_224941-0001,2026-05-23T23:22:59.070749Z,0.0,0.0,0.0
run_20260521_224941-0001,2026-05-23T23:27:59.070749Z,0.596,0.596,0.0
run_20260521_224941-0001,2026-05-23T23:32:59.070749Z,1.12,1.12,0.0
run_20260521_224941-0001,2026-05-23T23:37:59.070749Z,1.708,1.708,0.0
run_20260521_224941-0001,2026-05-23T23:42:59.070749Z,2.299,2.299,0.0
run_20260521_224941-0001,2026-05-23T23:47:59.070749Z,2.936,2.936,0.0
run_20260521_224941-0001,2026-05-23T23:52:59.070749Z,2.311,2.936,0.624
run_20260521_224941-0001,2026-05-23T23:57:59.070749Z,2.85,3.474,0.624
run_20260521_224941-0001,2026-05-24T00:02:59.070749Z,3.404,4.028,0.624
run_20260521_224941-0002,2026-05-23T13:12:08.338401Z,0.0,0.0,0.0
run_20260521_224941-0002,2026-05-23T13:17:08.338401Z,0.634,0.634,0.0
run_20260521_224941-0002,2026-05-23T13:22:08.338401Z,1.287,1.287,0.0
run_20260521_224941-0002,2026-05-23T13:27:08.338401Z,1.88,1.88,0.0
run_20260521_224941-0002,2026-05-23T13:32:08.338401Z,2.521,2.521,0.0
run_20260521_224941-0002,2026-05-23T13:37:08.338401Z,3.123,3.123,0.0
run_20260521_224941-0002,2026-05-23T13:42:08.338401Z,3.695,3.695,0.0
run_20260521_224941-0002,2026-05-23T13:47:08.338401Z,4.254,4.254,0.0
run_20260521_224941-0002,2026-05-23T13:52:08.338401Z,4.893,4.893,0.0
run_20260521_224941-0003,2026-05-23T11:06:49.892898Z,0.0,0.0,0.0
run_20260521_224941-0003,2026-05-23T11:11:49.892898Z,0.64,0.64,0.0
run_20260521_224941-0003,2026-05-23T11:16:49.892898Z,1.167,1.167,0.0
run_20260521_224941-0003,2026-05-23T11:21:49.892898Z,1.818,1.818,0.0
run_20260521_224941-0003,2026-05-23T11:26:49.892898Z,2.357,2.357,0.0
run_20260521_224941-0003,2026-05-23T11:31:49.892898Z,2.952,2.952,0.0
run_20260521_224941-0003,2026-05-23T11:36:49.892898Z,3.535,3.535,0.0
run_20260521_224941-0003,2026-05-23T11:41:49.892898Z,4.141,4.141,0.0
run_20260521_224941-0003,2026-05-23T11:46:49.892898Z,4.791,4.791,0.0
run_20260521_224941-0003,2026-05-23T11:51:49.892898Z,5.429,5.429,0.0
run_20260521_224941-0003,2026-05-23T11:56:49.892898Z,6.05,6.05,0.0
run_20260521_224941-0003,2026-05-23T12:01:49.892898Z,6.689,6.689,0.0
run_20260521_224941-0003,2026-05-23T12:06:49.892898Z,7.318,7.318,0.0
run_20260521_224941-0004,2026-05-23T18:57:18.592541Z,0.0,0.0,0.0
run_20260521_224941-0004,2026-05-23T19:02:18.592541Z,1.683,1.683,0.0
run_20260521_224941-0004,2026-05-23T19:07:18.592541Z,3.315,3.315,0.0
run_20260521_224941-0004,2026-05-23T19:12:18.592541Z,5.289,5.289,0.0
run_20260521_224941-0004,2026-05-23T19:17:18.592541Z,7.383,7.383,0.0
run_20260521_224941-0004,2026-05-23T19:22:18.592541Z,9.309,9.309,0.0
run_20260521_224941-0004,2026-05-23T19:27:18.592541Z,11.296,11.296,0.0
run_20260521_224941-0004,2026-05-23T19:32:18.592541Z,13.391,13.391,0.0
run_20260521_224941-0004,2026-05-23T19:37:18.592541Z,15.207,15.207,0.0
run_20260521_224941-0005,2026-05-23T18:29:10.246582Z,0.0,0.0,0.0
run_20260521_224941-0005,2026-05-23T18:34:10.246582Z,-1.102,0.0,1.102
run_20260521_224941-0005,2026-05-23T18:39:10.246582Z,-2.101,0.0,2.101
run_20260521_224941-0005,2026-05-23T18:44:10.246582Z,-2.884,0.0,2.884
run_20260521_224941-0005,2026-05-23T18:49:10.246582Z,-3.741,0.0,3.741
run_20260521_224941-0006,2026-05-23T20:33:15.894586Z,0.0,0.0,0.0
run_20260521_224941-0006,2026-05-23T20:38:15.894586Z,0.503,0.503,0.0
run_20260521_224941-0006,2026-05-23T20:43:15.894586Z,1.079,1.079,0.0
run_20260521_224941-0006,2026-05-23T20:48:15.894586Z,1.608,1.608,0.0
run_20260521_224941-0006,2026-05-23T20:53:15.894586Z,2.242,2.242,0.0
run_20260521_224941-0006,2026-05-23T20:58:15.894586Z,2.709,2.709,0.0
run_20260521_224941-0006,2026-05-23T21:03:15.894586Z,3.466,3.466,0.0
run_20260521_224941-0007,2026-05-23T03:19:00.708605Z,0.0,0.0,0.0
run_20260521_224941-0007,2026-05-23T03:24:00.708605Z,1.685,1.685,0.0
run_20260521_224941-0007,2026-05-23T03:29:00.708605Z,-0.046,1.685,1.73
run_20260521_224941-0007,2026-05-23T03:34:00.708605Z,-1.709,1.685,3.394
run_20260521_224941-0007,2026-05-23T03:39:00.708605Z,-3.426,1.685,5.111
run_20260521_224941-0007,2026-05-23T03:44:00.708605Z,-1.595,3.516,5.111
run_20260521_224941-0007,2026-05-23T03:49:00.708605Z,0.471,5.582,5.111
run_20260521_224941-0008,2026-05-23T05:57:44.158115Z,0.0,0.0,0.0
run_20260521_224941-0008,2026-05-23T06:02:44.158115Z,0.696,0.696,0.0
run_20260521_224941-0008,2026-05-23T06:07:44.158115Z,1.298,1.298,0.0
run_20260521_224941-0008,2026-05-23T06:12:44.158115Z,1.868,1.868,0.0
run_20260521_224941-0008,2026-05-23T06:17:44.158115Z,1.425,1.868,0.443
run_20260521_224941-0008,2026-05-23T06:22:44.158115Z,0.82,1.868,1.048
run_20260521_224941-0008,2026-05-23T06:27:44.158115Z,1.348,2.396,1.048
run_20260521_224941-0008,2026-05-23T06:32:44.158115Z,2.014,3.062,1.048
run_20260521_224941-0008,2026-05-23T06:37:44.158115Z,2.667,3.714,1.048
run_20260521_224941-0009,2026-05-23T05:40:59.066874Z,0.0,0.0,0.0
run_20260521_224941-0009,2026-05-23T05:45:59.066874Z,1.661,1.661,0.0
run_20260521_224941-0009,2026-05-23T05:50:59.066874Z,3.37,3.37,0.0
run_20260521_224941-0009,2026-05-23T05:55:59.066874Z,5.337,5.337,0.0
run_20260521_224941-0009,2026-05-23T06:00:59.066874Z,7.282,7.282,0.0
run_20260521_224941-0009,2026-05-23T06:05:59.066874Z,9.447,9.447,0.0
run_20260521_224941-0009,2026-05-23T06:10:59.066874Z,11.25,11.25,0.0
run_20260521_224941-0009,2026-05-23T06:15:59.066874Z,13.092,13.092,0.0
run_20260521_224941-0009,2026-05-23T06:20:59.066874Z,15.061,15.061,0.0
run_20260521_224941-0009,2026-05-23T06:25:59.066874Z,16.827,16.827,0.0
run_20260521_224941-0009,2026-05-23T06:30:59.066874Z,18.629,18.629,0.0
run_20260521_224941-0009,2026-05-23T06:35:59.066874Z,20.425,20.425,0.0
run_20260521_224941-0009,2026-05-23T06:40:59.066874Z,21.923,21.923,0.0
run_20260521_224941-0009,2026-05-23T06:45:59.066874Z,23.98,23.98,0.0
run_20260521_224941-0009,2026-05-23T06:50:59.066874Z,25.782,25.782,0.0
run_20260521_224941-0009,2026-05-23T06:55:59.066874Z,27.805,27.805,0.0
run_20260521_224941-0010,2026-05-23T13:49:40.881967Z,0.0,0.0,0.0
run_20260521_224941-0010,2026-05-23T13:54:40.881967Z,2.025,2.025,0.0
run_20260521_224941-0010,2026-05-23T13:59:40.881967Z,3.751,3.751,0.0
run_20260521_224941-0010,2026-05-23T14:04:40.881967Z,5.315,5.315,0.0
run_20260521_224941-0010,2026-05-23T14:09:40.881967Z,6.928,6.928,0.0
run_20260521_224941-0010,2026-05-23T14:14:40.881967Z,8.924,8.924,0.0
run_20260521_224941-0010,2026-05-23T14:19:40.881967Z,10.482,10.482,0.0
run_20260521_224941-0011,2026-05-23T23:28:42.639935Z,0.0,0.0,0.0
run_20260521_224941-0011,2026-05-23T23:33:42.639935Z,0.692,0.692,0.0
run_20260521_224941-0011,2026-05-23T23:38:42.639935Z,1.386,1.386,0.0
run_20260521_224941-0011,2026-05-23T23:43:42.639935Z,1.99,1.99,0.0
run_20260521_224941-0011,2026-05-23T23:48:42.639935Z,2.611,2.611,0.0
run_20260521_224941-0011,2026-05-23T23:53:42.639935Z,3.219,3.219,0.0
run_20260521_224941-0011,2026-05-23T23:58:42.639935Z,3.872,3.872,0.0
run_20260521_224941-0011,2026-05-24T00:03:42.639935Z,4.482,4.482,0.0
run_20260521_224941-0011,2026-05-24T00:08:42.639935Z,5.034,5.034,0.0
run_20260521_224941-0011,2026-05-24T00:13:42.639935Z,5.63,5.63,0.0
run_20260521_224941-0011,2026-05-24T00:18:42.639935Z,6.155,6.155,0.0
run_20260521_224941-0011,2026-05-24T00:23:42.639935Z,6.762,6.762,0.0
run_20260521_224941-0011,2026-05-24T00:28:42.639935Z,7.342,7.342,0.0
run_20260521_224941-0011,2026-05-24T00:33:42.639935Z,7.819,7.819,0.0
run_20260521_224941-0011,2026-05-24T00:38:42.639935Z,8.379,8.379,0.0
run_20260521_224941-0011,2026-05-24T00:43:42.639935Z,8.959,8.959,0.0
run_20260521_224941-0012,2026-05-23T08:10:03.890442Z,0.0,0.0,0.0
run_20260521_224941-0012,2026-05-23T08:15:03.890442Z,-0.937,0.0,0.937
run_20260521_224941-0012,2026-05-23T08:20:03.890442Z,-1.83,0.0,1.83
run_20260521_224941-0012,2026-05-23T08:25:03.890442Z,-2.672,0.0,2.672
run_20260521_224941-0012,2026-05-23T08:30:03.890442Z,-3.48,0.0,3.48
