session_id,user_id,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,receipt_hash,merkle_root,batch_root
run_20260521_224941-0001,user-002,3.404,4.028,0.624,3.404,2026-05-23T23:22:59.070749Z,2026-05-24T00:02:59.070749Z,2026-05-23,0x1ca3cf1fe7f211fdb0aef23d9985cf784fc65454e4945827ef57ca16d5795698,0x318e66c702bdf97c033bbd4d7ad0758c9b6b2bf6c5aee6e2f58313e9f729992a,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0002,user-004,4.893,4.893,0.0,4.893,2026-05-23T13:12:08.338401Z,2026-05-23T13:52:08.338401Z,2026-05-23,0x43999034f386144061c8acd8943ba240a28af68e822ccd02d0a71d1682ed733c,0xc75e93d109569ace61e8514166f03772598b29b543fb37232450daa7c5fcf670,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0003,user-008,7.318,7.318,0.0,7.318,2026-05-23T11:06:49.892898Z,2026-05-23T12:06:49.892898Z,2026-05-23,0xa9ff83c58d53b879d55fcd168c6c2656e763edd89422dc0fad391d63a9e84a42,0x710ef10cf9ea435a9a49a3ed882bb6f9fb3f830d46a11958429e5d327206bae7,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0004,user-006,15.207,15.207,0.0,15.207,2026-05-23T18:57:18.592541Z,2026-05-23T19:37:18.592541Z,2026-05-23,0x9ef9199383e84897956911f9acc980ea801830e3e40544c8ee5cdd8f8fd382f5,0xca03ae590d09bf9bf2f46b7b9dc331d014187ba281985f292582c595289e3089,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0005,user-001,-3.741,0.0,3.741,-3.741,2026-05-23T18:29:10.246582Z,2026-05-23T18:49:10.246582Z,2026-05-23,0x29130ea2fc6ca3f11a3c72ff903439840e63b5b29c1e9c235d6eb3d8d428987e,0x509169235f202dc2d6c4c157341441c01e25c99a36f043c5637f28421620136e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0006,user-008,3.466,3.466,0.0,3.466,2026-05-23T20:33:15.894586Z,2026-05-23T21:03:15.894586Z,2026-05-23,0xc17027285ff7609503ee3ad3e64bbf42886641967f183fab30b89eb2198482f7,0xa042b0b48589530b7be6933a0e7a7083cbcbd8f9bce8c4a146bff52794a2f889,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0007,user-001,0.471,5.582,5.111,0.471,2026-05-23T03:19:00.708605Z,2026-05-23T03:49:00.708605Z,2026-05-23,0xe9a85a517f7b7dba4b9909c4dcdf493bc294df200f53b439179263f163f32da7,0xc23101a2813ff4a98f32c86f29bae4fc513e93917176a488baf7c7c090ba67ee,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0008,user-009,2.666,3.714,1.048,2.666,2026-05-23T05:57:44.158115Z,2026-05-23T06:37:44.158115Z,2026-05-23,0x945971b0f5a947d19666d10e8a8e92934b37109f75d573d710db5069a9619909,0x4d2c1ee0e7a9df7de26f2e1b759fd2427d22d10d28f3f5b9c0c9911faca5c5b2,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0009,user-006,27.805,27.805,0.0,27.805,2026-05-23T05:40:59.066874Z,2026-05-23T06:55:59.066874Z,2026-05-23,0x6a3cc0b12a844fb18ddf0811950ff80430482492f02fe3c56b4cd12919c658b2,0x3c843ea5874fc9dbcc979d5ad3a6f28c3c78d8080d3d4c7b980cf3e70dd5a444,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0010,user-010,10.482,10.482,0.0,10.482,2026-05-23T13:49:40.881967Z,2026-05-23T14:19:40.881967Z,2026-05-23,0xf73f78fbca1b988f0c15e7950372b97b56c9107ae913b85b2f7153b22947a870,0x21269de0dc29f727091acd06cd13f4f9415b1c96a323b033f76ac71bcd7ceed3,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
