session_id,match,import_consistent,export_consistent,net_consistent,settlement_consistent,audit_ok,audit_reason,batch_day,expected_hash,computed_hash,batch_root
run_20260521_224941-0001,True,True,True,True,True,True,,2026-05-23,0x1ca3cf1fe7f211fdb0aef23d9985cf784fc65454e4945827ef57ca16d5795698,0x1ca3cf1fe7f211fdb0aef23d9985cf784fc65454e4945827ef57ca16d5795698,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0002,True,True,True,True,True,True,,2026-05-23,0x43999034f386144061c8acd8943ba240a28af68e822ccd02d0a71d1682ed733c,0x43999034f386144061c8acd8943ba240a28af68e822ccd02d0a71d1682ed733c,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0003,True,True,True,True,True,True,,2026-05-23,0xa9ff83c58d53b879d55fcd168c6c2656e763edd89422dc0fad391d63a9e84a42,0xa9ff83c58d53b879d55fcd168c6c2656e763edd89422dc0fad391d63a9e84a42,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0004,True,True,True,True,True,True,,2026-05-23,0x9ef9199383e84897956911f9acc980ea801830e3e40544c8ee5cdd8f8fd382f5,0x9ef9199383e84897956911f9acc980ea801830e3e40544c8ee5cdd8f8fd382f5,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0005,True,True,True,True,True,True,,2026-05-23,0x29130ea2fc6ca3f11a3c72ff903439840e63b5b29c1e9c235d6eb3d8d428987e,0x29130ea2fc6ca3f11a3c72ff903439840e63b5b29c1e9c235d6eb3d8d428987e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0006,True,True,True,True,True,True,,2026-05-23,0xc17027285ff7609503ee3ad3e64bbf42886641967f183fab30b89eb2198482f7,0xc17027285ff7609503ee3ad3e64bbf42886641967f183fab30b89eb2198482f7,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0007,True,True,True,True,True,True,,2026-05-23,0xe9a85a517f7b7dba4b9909c4dcdf493bc294df200f53b439179263f163f32da7,0xe9a85a517f7b7dba4b9909c4dcdf493bc294df200f53b439179263f163f32da7,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0008,True,True,True,True,True,True,,2026-05-23,0x945971b0f5a947d19666d10e8a8e92934b37109f75d573d710db5069a9619909,0x945971b0f5a947d19666d10e8a8e92934b37109f75d573d710db5069a9619909,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0009,True,True,True,True,True,True,,2026-05-23,0x6a3cc0b12a844fb18ddf0811950ff80430482492f02fe3c56b4cd12919c658b2,0x6a3cc0b12a844fb18ddf0811950ff80430482492f02fe3c56b4cd12919c658b2,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0010,True,True,True,True,True,True,,2026-05-23,0xf73f78fbca1b988f0c15e7950372b97b56c9107ae913b85b2f7153b22947a870,0xf73f78fbca1b988f0c15e7950372b97b56c9107ae913b85b2f7153b22947a870,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0011,True,True,True,True,True,True,,2026-05-23,0xa3b635d16b1782bd0a31f6b76c9909eaa30eb981f42a65fdef08966165c1aceb,0xa3b635d16b1782bd0a31f6b76c9909eaa30eb981f42a65fdef08966165c1aceb,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0012,True,True,True,True,True,True,,2026-05-23,0xd1559d4cd6a6ad969e56f854274b16820a66c8b3f66d389f6e48635f89c8865e,0xd1559d4cd6a6ad969e56f854274b16820a66c8b3f66d389f6e48635f89c8865e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0013,True,True,True,True,True,True,,2026-05-23,0xe71295fcf1b2191bd65803ed3f239eb7cb92b511684a46e0d95139324747b8e2,0xe71295fcf1b2191bd65803ed3f239eb7cb92b511684a46e0d95139324747b8e2,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0014,True,True,True,True,True,True,,2026-05-23,0xcd07adfc653cd0cf793314f607d23c52789f22a102a606017edf4dc117637f58,0xcd07adfc653cd0cf793314f607d23c52789f22a102a606017edf4dc117637f58,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0015,True,True,True,True,True,True,,2026-05-23,0xff101fa9fdd46a9c4b18a88f9b7983babc80057d12d5679f6ea9a7b8c8dbe9d9,0xff101fa9fdd46a9c4b18a88f9b7983babc80057d12d5679f6ea9a7b8c8dbe9d9,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
